,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
2301,carbon-design-system/carbon,3351,https://github.com/carbon-design-system/carbon/pull/3351,2019-07-11T10:58:22Z,MERGED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2302,carbon-design-system/carbon,3352,https://github.com/carbon-design-system/carbon/pull/3352,2019-07-11T12:23:09Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2303,carbon-design-system/carbon,3353,https://github.com/carbon-design-system/carbon/pull/3353,2019-07-11T12:23:10Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2304,carbon-design-system/carbon,3354,https://github.com/carbon-design-system/carbon/pull/3354,2019-07-11T12:23:13Z,CLOSED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2305,carbon-design-system/carbon,3366,https://github.com/carbon-design-system/carbon/pull/3366,2019-07-11T17:12:14Z,CLOSED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2306,mattermost/mattermost-redux,877,https://github.com/mattermost/mattermost-redux/pull/877,2019-07-11T10:46:25Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2307,mattermost/mattermost-redux,899,https://github.com/mattermost/mattermost-redux/pull/899,2019-08-14T19:52:02Z,MERGED,lodash-es,4.17.8,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2308,mattermost/mattermost-redux,909,https://github.com/mattermost/mattermost-redux/pull/909,2019-08-26T18:30:14Z,MERGED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
2309,mattermost/mattermost-redux,926,https://github.com/mattermost/mattermost-redux/pull/926,2019-09-17T13:39:23Z,MERGED,lodash-es,4.17.8,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2310,mattermost/mattermost-redux,1085,https://github.com/mattermost/mattermost-redux/pull/1085,2020-03-13T21:40:02Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2311,silverstripe/silverstripe-admin,975,https://github.com/silverstripe/silverstripe-admin/pull/975,2019-10-23T03:53:14Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2312,silverstripe/silverstripe-admin,976,https://github.com/silverstripe/silverstripe-admin/pull/976,2019-10-23T03:53:15Z,CLOSED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2313,silverstripe/silverstripe-admin,977,https://github.com/silverstripe/silverstripe-admin/pull/977,2019-10-23T03:53:16Z,CLOSED,handlebars,4.0.12,4.4.5,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2314,silverstripe/silverstripe-admin,978,https://github.com/silverstripe/silverstripe-admin/pull/978,2019-10-23T03:53:18Z,CLOSED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2315,silverstripe/silverstripe-admin,979,https://github.com/silverstripe/silverstripe-admin/pull/979,2019-10-23T03:53:20Z,CLOSED,lodash-es,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2316,silverstripe/silverstripe-admin,1000,https://github.com/silverstripe/silverstripe-admin/pull/1000,2019-12-13T18:29:48Z,MERGED,npm,6.12.1,6.13.4,"['GHSA-4328-8hgf-7wjr', 'GHSA-x8qc-rrcw-4r46', 'GHSA-m6cx-g6qm-p2cx']","['LOW', 'LOW', 'LOW']",LOW
2317,topcoder-platform/community-app,3493,https://github.com/topcoder-platform/community-app/pull/3493,2019-12-05T18:46:26Z,CLOSED,serialize-javascript,1.9.1,2.1.1,['GHSA-h9rv-jmmf-4pgx'],['MODERATE'],MODERATE
2318,TobitSoftware/chayns-components,171,https://github.com/TobitSoftware/chayns-components/pull/171,2020-03-13T23:12:37Z,MERGED,acorn,6.2.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2319,jumpserver/luna,131,https://github.com/jumpserver/luna/pull/131,2019-11-01T13:21:59Z,MERGED,sshpk,1.13.1,1.16.1,['GHSA-2m39-62fm-q8r3'],['HIGH'],HIGH
2320,jumpserver/luna,137,https://github.com/jumpserver/luna/pull/137,2019-12-26T21:18:57Z,CLOSED,handlebars,4.2.0,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2321,jumpserver/luna,147,https://github.com/jumpserver/luna/pull/147,2020-03-12T03:04:40Z,OPEN,xterm,3.3.0,3.8.1,['GHSA-mc23-976p-j42x'],['LOW'],LOW
2322,jumpserver/luna,148,https://github.com/jumpserver/luna/pull/148,2020-03-12T03:04:47Z,OPEN,debug,2.6.8,2.6.9,['GHSA-gxpj-cx7g-858c'],['LOW'],LOW
2323,jumpserver/luna,149,https://github.com/jumpserver/luna/pull/149,2020-03-12T03:05:23Z,MERGED,sshpk,1.13.1,1.16.1,['GHSA-2m39-62fm-q8r3'],['HIGH'],HIGH
2324,jumpserver/luna,151,https://github.com/jumpserver/luna/pull/151,2020-03-13T21:26:50Z,MERGED,acorn,6.3.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2325,jumpserver/luna,161,https://github.com/jumpserver/luna/pull/161,2020-04-29T23:16:53Z,MERGED,jquery,3.4.1,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2']","['MODERATE', 'MODERATE']",MODERATE
2326,pilas-engine/pilas-engine,23,https://github.com/pilas-engine/pilas-engine/pull/23,2019-10-30T01:53:27Z,CLOSED,lodash.defaultsdeep,4.6.0,4.6.1,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2327,pilas-engine/pilas-engine,24,https://github.com/pilas-engine/pilas-engine/pull/24,2019-10-30T01:53:31Z,CLOSED,stringstream,0.0.5,0.0.6,['GHSA-mf6x-7mm4-x2g7'],['MODERATE'],MODERATE
2328,pilas-engine/pilas-engine,25,https://github.com/pilas-engine/pilas-engine/pull/25,2019-10-30T01:53:33Z,CLOSED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2329,pilas-engine/pilas-engine,26,https://github.com/pilas-engine/pilas-engine/pull/26,2019-10-30T01:53:33Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2330,pilas-engine/pilas-engine,27,https://github.com/pilas-engine/pilas-engine/pull/27,2019-10-30T01:53:36Z,CLOSED,handlebars,4.0.11,4.0.14,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2331,jaegertracing/jaeger-ui,472,https://github.com/jaegertracing/jaeger-ui/pull/472,2019-10-29T20:25:32Z,MERGED,eslint-utils,1.3.1,1.4.3,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
2332,jaegertracing/jaeger-ui,473,https://github.com/jaegertracing/jaeger-ui/pull/473,2019-10-29T20:25:35Z,MERGED,lodash-es,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2333,jaegertracing/jaeger-ui,474,https://github.com/jaegertracing/jaeger-ui/pull/474,2019-10-29T20:25:35Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2334,jaegertracing/jaeger-ui,475,https://github.com/jaegertracing/jaeger-ui/pull/475,2019-10-29T20:25:36Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2335,jaegertracing/jaeger-ui,476,https://github.com/jaegertracing/jaeger-ui/pull/476,2019-10-29T20:25:36Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2336,jaegertracing/jaeger-ui,545,https://github.com/jaegertracing/jaeger-ui/pull/545,2020-03-14T03:55:50Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2337,jaegertracing/jaeger-ui,561,https://github.com/jaegertracing/jaeger-ui/pull/561,2020-04-16T11:52:31Z,MERGED,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
2338,qiuwww/blog,6,https://github.com/qiuwww/blog/pull/6,2019-06-06T08:08:39Z,MERGED,js-yaml,3.12.1,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
2339,qiuwww/blog,7,https://github.com/qiuwww/blog/pull/7,2019-07-11T00:25:06Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2340,qiuwww/blog,8,https://github.com/qiuwww/blog/pull/8,2019-07-11T12:56:25Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2341,qiuwww/blog,9,https://github.com/qiuwww/blog/pull/9,2019-07-11T12:56:33Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2342,qiuwww/blog,10,https://github.com/qiuwww/blog/pull/10,2019-07-12T14:54:15Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2343,qiuwww/blog,11,https://github.com/qiuwww/blog/pull/11,2019-07-13T10:06:20Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2344,qiuwww/blog,12,https://github.com/qiuwww/blog/pull/12,2019-08-20T19:54:54Z,MERGED,webpack-dev-server,2.9.7,3.1.11,['GHSA-cf66-xwfp-gvc4'],['HIGH'],HIGH
2345,qiuwww/blog,13,https://github.com/qiuwww/blog/pull/13,2019-08-27T00:24:08Z,MERGED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
2346,qiuwww/blog,14,https://github.com/qiuwww/blog/pull/14,2019-09-01T10:08:50Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2347,qiuwww/blog,15,https://github.com/qiuwww/blog/pull/15,2019-09-01T10:08:51Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2348,qiuwww/blog,16,https://github.com/qiuwww/blog/pull/16,2019-09-01T10:09:01Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2349,qiuwww/blog,17,https://github.com/qiuwww/blog/pull/17,2019-12-13T18:53:39Z,OPEN,npm,2.15.1,6.13.4,"['GHSA-4328-8hgf-7wjr', 'GHSA-x8qc-rrcw-4r46', 'GHSA-m6cx-g6qm-p2cx']","['LOW', 'LOW', 'LOW']",LOW
2350,qiuwww/blog,18,https://github.com/qiuwww/blog/pull/18,2019-12-28T10:40:23Z,OPEN,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2351,qiuwww/blog,19,https://github.com/qiuwww/blog/pull/19,2020-03-14T01:17:09Z,CLOSED,minimist,1.2.0,1.2.5,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
2352,qiuwww/blog,20,https://github.com/qiuwww/blog/pull/20,2020-04-30T04:04:11Z,OPEN,jquery,3.4.0,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2']","['MODERATE', 'MODERATE']",MODERATE
2353,owncloud/guests,361,https://github.com/owncloud/guests/pull/361,2019-08-29T03:59:46Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2354,owncloud/guests,362,https://github.com/owncloud/guests/pull/362,2019-09-11T10:45:09Z,CLOSED,handlebars,4.1.1,4.2.0,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2355,owncloud/guests,363,https://github.com/owncloud/guests/pull/363,2019-09-11T10:45:12Z,MERGED,js-yaml,3.13.0,3.13.1,['GHSA-8j8c-7jfh-h6hx'],['HIGH'],HIGH
2356,owncloud/guests,374,https://github.com/owncloud/guests/pull/374,2019-10-21T02:54:44Z,CLOSED,handlebars,4.1.1,4.4.5,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2357,owncloud/guests,381,https://github.com/owncloud/guests/pull/381,2019-12-08T10:03:35Z,CLOSED,handlebars,4.1.1,4.5.3,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2358,owncloud/guests,390,https://github.com/owncloud/guests/pull/390,2020-02-04T02:20:08Z,CLOSED,handlebars,4.1.1,4.7.2,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
2359,owncloud/guests,393,https://github.com/owncloud/guests/pull/393,2020-02-24T09:39:10Z,MERGED,handlebars,4.1.1,4.7.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
2360,cwrc/CWRC-WriterBase,266,https://github.com/cwrc/CWRC-WriterBase/pull/266,2020-05-20T03:36:45Z,OPEN,jquery,3.4.1,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2']","['MODERATE', 'MODERATE']",MODERATE
2361,cwrc/CWRC-WriterBase,267,https://github.com/cwrc/CWRC-WriterBase/pull/267,2020-05-20T03:36:47Z,CLOSED,tinymce,4.9.8,4.9.10,['GHSA-c78w-2gw7-gjv3'],['MODERATE'],MODERATE
2362,bbc/device-identification-data,20,https://github.com/bbc/device-identification-data/pull/20,2019-10-29T17:42:42Z,MERGED,extend,3.0.1,3.0.2,['GHSA-qrmc-fj45-qfc2'],['MODERATE'],MODERATE
2363,bbc/device-identification-data,21,https://github.com/bbc/device-identification-data/pull/21,2019-10-29T17:42:43Z,MERGED,lodash,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2364,bbc/device-identification-data,22,https://github.com/bbc/device-identification-data/pull/22,2019-10-29T17:42:44Z,MERGED,js-yaml,3.12.0,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
2365,appbaseio/reactivesearch,1013,https://github.com/appbaseio/reactivesearch/pull/1013,2019-06-13T18:03:33Z,MERGED,js-yaml,3.13.0,3.13.1,['GHSA-8j8c-7jfh-h6hx'],['HIGH'],HIGH
2366,appbaseio/reactivesearch,1014,https://github.com/appbaseio/reactivesearch/pull/1014,2019-06-13T18:03:48Z,MERGED,js-yaml,3.13.0,3.13.1,['GHSA-8j8c-7jfh-h6hx'],['HIGH'],HIGH
2367,appbaseio/reactivesearch,1015,https://github.com/appbaseio/reactivesearch/pull/1015,2019-06-13T18:03:59Z,MERGED,js-yaml,3.12.0,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
2368,appbaseio/reactivesearch,1036,https://github.com/appbaseio/reactivesearch/pull/1036,2019-07-04T21:25:57Z,MERGED,handlebars,4.0.12,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2369,appbaseio/reactivesearch,1047,https://github.com/appbaseio/reactivesearch/pull/1047,2019-07-10T22:15:00Z,MERGED,lodash.defaultsdeep,4.6.0,4.6.1,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2370,appbaseio/reactivesearch,1048,https://github.com/appbaseio/reactivesearch/pull/1048,2019-07-10T22:15:10Z,MERGED,lodash.defaultsdeep,4.6.0,4.6.1,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2371,appbaseio/reactivesearch,1050,https://github.com/appbaseio/reactivesearch/pull/1050,2019-07-11T17:07:14Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2372,appbaseio/reactivesearch,1052,https://github.com/appbaseio/reactivesearch/pull/1052,2019-07-13T20:47:40Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2373,appbaseio/reactivesearch,1053,https://github.com/appbaseio/reactivesearch/pull/1053,2019-07-13T20:47:42Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2374,appbaseio/reactivesearch,1118,https://github.com/appbaseio/reactivesearch/pull/1118,2019-08-27T03:27:26Z,MERGED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
2375,appbaseio/reactivesearch,1146,https://github.com/appbaseio/reactivesearch/pull/1146,2019-09-10T15:00:55Z,MERGED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
2376,appbaseio/reactivesearch,1305,https://github.com/appbaseio/reactivesearch/pull/1305,2019-12-28T18:27:07Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2377,appbaseio/reactivesearch,1384,https://github.com/appbaseio/reactivesearch/pull/1384,2020-03-15T07:36:07Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2378,appbaseio/reactivesearch,1399,https://github.com/appbaseio/reactivesearch/pull/1399,2020-03-31T19:24:50Z,MERGED,next,7.0.3,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
2379,Datawheel/canon,808,https://github.com/Datawheel/canon/pull/808,2019-11-06T17:18:08Z,CLOSED,sequelize,4.43.0,5.15.1,"['GHSA-j9xp-92vc-559j', 'GHSA-m9jw-237r-gvfv']","['HIGH', 'HIGH']",HIGH
2380,Datawheel/canon,809,https://github.com/Datawheel/canon/pull/809,2019-11-06T17:53:43Z,CLOSED,sequelize,4.44.0,4.44.3,"['GHSA-j9xp-92vc-559j', 'GHSA-m9jw-237r-gvfv']","['HIGH', 'HIGH']",HIGH
2381,Datawheel/canon,859,https://github.com/Datawheel/canon/pull/859,2019-12-05T18:52:17Z,CLOSED,serialize-javascript,1.6.1,2.1.1,['GHSA-h9rv-jmmf-4pgx'],['MODERATE'],MODERATE
2382,Datawheel/canon,967,https://github.com/Datawheel/canon/pull/967,2020-03-13T21:13:01Z,CLOSED,acorn,6.1.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2383,vanda/vam-fractal,37,https://github.com/vanda/vam-fractal/pull/37,2019-06-05T19:12:30Z,CLOSED,handlebars,4.0.11,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2384,vanda/vam-fractal,38,https://github.com/vanda/vam-fractal/pull/38,2019-06-12T18:49:31Z,CLOSED,is-my-json-valid,2.16.0,2.20.0,['GHSA-f522-ffg8-j8r6'],['LOW'],LOW
2385,vanda/vam-fractal,39,https://github.com/vanda/vam-fractal/pull/39,2019-06-20T23:53:27Z,MERGED,eslint,3.19.0,4.18.2,['GHSA-jcgq-xh2f-2hfm'],['LOW'],LOW
2386,vanda/vam-fractal,40,https://github.com/vanda/vam-fractal/pull/40,2019-06-20T23:58:15Z,CLOSED,stringstream,0.0.5,0.0.6,['GHSA-mf6x-7mm4-x2g7'],['MODERATE'],MODERATE
2387,vanda/vam-fractal,41,https://github.com/vanda/vam-fractal/pull/41,2019-07-10T20:37:28Z,CLOSED,lodash.merge,4.6.0,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2388,vanda/vam-fractal,42,https://github.com/vanda/vam-fractal/pull/42,2019-07-10T22:17:45Z,CLOSED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2389,vanda/vam-fractal,45,https://github.com/vanda/vam-fractal/pull/45,2019-08-27T19:35:24Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2390,vanda/vam-fractal,52,https://github.com/vanda/vam-fractal/pull/52,2019-12-27T00:44:15Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2391,CMSgov/design-system,428,https://github.com/CMSgov/design-system/pull/428,2019-06-06T09:55:42Z,MERGED,handlebars,4.0.12,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2392,CMSgov/design-system,455,https://github.com/CMSgov/design-system/pull/455,2019-07-10T13:27:19Z,MERGED,merge,1.2.0,1.2.1,['GHSA-f9cm-qmx5-m98h'],['LOW'],LOW
2393,CMSgov/design-system,456,https://github.com/CMSgov/design-system/pull/456,2019-07-11T09:59:55Z,MERGED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2394,CMSgov/design-system,461,https://github.com/CMSgov/design-system/pull/461,2019-07-13T20:24:59Z,CLOSED,lodash,4.17.4,4.17.14,"['GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['HIGH', 'HIGH', 'LOW']",HIGH
2395,CMSgov/design-system,462,https://github.com/CMSgov/design-system/pull/462,2019-07-13T20:25:03Z,CLOSED,lodash,4.17.4,4.17.14,"['GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['HIGH', 'HIGH', 'LOW']",HIGH
2396,CMSgov/design-system,463,https://github.com/CMSgov/design-system/pull/463,2019-07-13T20:25:04Z,MERGED,lodash,4.17.5,4.17.13,"['GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574']","['HIGH', 'HIGH']",HIGH
2397,CMSgov/design-system,466,https://github.com/CMSgov/design-system/pull/466,2019-07-20T13:21:23Z,CLOSED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2398,CMSgov/design-system,467,https://github.com/CMSgov/design-system/pull/467,2019-07-20T15:08:29Z,MERGED,lodash,4.17.4,4.17.15,"['GHSA-x5rq-j2xg-h7qm', 'GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['MODERATE', 'HIGH', 'HIGH', 'LOW']",HIGH
2399,CMSgov/design-system,468,https://github.com/CMSgov/design-system/pull/468,2019-07-20T15:08:30Z,MERGED,lodash,4.17.4,4.17.15,"['GHSA-x5rq-j2xg-h7qm', 'GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['MODERATE', 'HIGH', 'HIGH', 'LOW']",HIGH
2400,CMSgov/design-system,470,https://github.com/CMSgov/design-system/pull/470,2019-07-29T18:45:59Z,MERGED,lodash,4.17.14,4.17.15,[],[],
2401,CMSgov/design-system,476,https://github.com/CMSgov/design-system/pull/476,2019-08-03T23:01:46Z,MERGED,diff,3.4.0,3.5.0,['GHSA-h6ch-v84p-w6p9'],['HIGH'],HIGH
2402,CMSgov/design-system,477,https://github.com/CMSgov/design-system/pull/477,2019-08-03T23:01:47Z,MERGED,brace-expansion,1.1.6,1.1.11,['GHSA-832h-xg76-4gv6'],['MODERATE'],MODERATE
2403,CMSgov/design-system,478,https://github.com/CMSgov/design-system/pull/478,2019-08-03T23:01:49Z,MERGED,react-dom,16.2.0,16.2.1,['GHSA-mvjj-gqq2-p4hw'],['LOW'],LOW
2404,CMSgov/design-system,487,https://github.com/CMSgov/design-system/pull/487,2019-09-04T20:16:57Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2405,CMSgov/design-system,586,https://github.com/CMSgov/design-system/pull/586,2019-12-28T06:24:48Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2406,idyll-lang/idyll,525,https://github.com/idyll-lang/idyll/pull/525,2019-06-07T12:24:31Z,MERGED,handlebars,4.1.0,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2407,idyll-lang/idyll,594,https://github.com/idyll-lang/idyll/pull/594,2019-10-15T20:34:08Z,MERGED,csv-parse,2.5.0,4.4.6,['GHSA-582f-p4pg-xc74'],['HIGH'],HIGH
2408,idyll-lang/idyll,602,https://github.com/idyll-lang/idyll/pull/602,2019-12-28T00:29:11Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2409,idyll-lang/idyll,623,https://github.com/idyll-lang/idyll/pull/623,2020-03-31T10:50:20Z,CLOSED,next,4.2.3,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
2410,idyll-lang/idyll,624,https://github.com/idyll-lang/idyll/pull/624,2020-04-16T11:40:28Z,MERGED,https-proxy-agent,2.2.2,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
2411,idyll-lang/idyll,627,https://github.com/idyll-lang/idyll/pull/627,2020-04-21T21:45:31Z,CLOSED,next,4.2.3,9.3.5,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
2412,kaltura/playkit-js,411,https://github.com/kaltura/playkit-js/pull/411,2019-10-31T16:06:23Z,CLOSED,eslint,3.19.0,4.18.2,['GHSA-jcgq-xh2f-2hfm'],['LOW'],LOW
2413,kaltura/playkit-js,429,https://github.com/kaltura/playkit-js/pull/429,2019-12-28T18:20:06Z,CLOSED,handlebars,4.0.6,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
2414,ben-eb/caniuse-lite,33,https://github.com/ben-eb/caniuse-lite/pull/33,2019-10-30T03:33:26Z,MERGED,handlebars,4.0.12,4.5.1,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
2415,ben-eb/caniuse-lite,34,https://github.com/ben-eb/caniuse-lite/pull/34,2019-10-30T03:33:26Z,MERGED,js-yaml,3.12.0,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
2416,ben-eb/caniuse-lite,35,https://github.com/ben-eb/caniuse-lite/pull/35,2019-10-30T03:33:30Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
2417,ben-eb/caniuse-lite,36,https://github.com/ben-eb/caniuse-lite/pull/36,2019-10-30T03:33:32Z,MERGED,webpack-bundle-analyzer,3.0.3,3.6.0,['GHSA-pgr8-jg6h-8gw6'],['MODERATE'],MODERATE
2418,ben-eb/caniuse-lite,37,https://github.com/ben-eb/caniuse-lite/pull/37,2019-10-30T03:33:33Z,MERGED,lodash,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
2419,ben-eb/caniuse-lite,46,https://github.com/ben-eb/caniuse-lite/pull/46,2020-03-14T01:17:12Z,OPEN,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
2420,Backendless/Console-SDK,72,https://github.com/Backendless/Console-SDK/pull/72,2019-10-28T15:34:50Z,CLOSED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
