,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
1199,studiodrishti/recipe-lab,77,https://github.com/studiodrishti/recipe-lab/pull/77,2019-11-24T15:48:48Z,CLOSED,js-yaml,3.12.0,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
1200,studiodrishti/recipe-lab,78,https://github.com/studiodrishti/recipe-lab/pull/78,2019-11-24T15:48:50Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1201,studiodrishti/recipe-lab,79,https://github.com/studiodrishti/recipe-lab/pull/79,2019-11-24T15:48:50Z,CLOSED,lodash,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
1202,StartupsPoleEmploi/zen,270,https://github.com/StartupsPoleEmploi/zen/pull/270,2019-10-25T09:20:37Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1203,StartupsPoleEmploi/zen,305,https://github.com/StartupsPoleEmploi/zen/pull/305,2019-12-05T14:04:23Z,CLOSED,knex,0.15.2,0.19.5,['GHSA-58v4-qwx5-7f59'],['HIGH'],HIGH
1204,StartupsPoleEmploi/zen,313,https://github.com/StartupsPoleEmploi/zen/pull/313,2019-12-23T20:27:28Z,MERGED,js-yaml,3.13.0,3.13.1,['GHSA-8j8c-7jfh-h6hx'],['HIGH'],HIGH
1205,StartupsPoleEmploi/zen,318,https://github.com/StartupsPoleEmploi/zen/pull/318,2019-12-27T15:42:16Z,MERGED,handlebars,4.1.1,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1206,StartupsPoleEmploi/zen,319,https://github.com/StartupsPoleEmploi/zen/pull/319,2019-12-28T06:04:39Z,MERGED,handlebars,4.1.1,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1207,StartupsPoleEmploi/zen,384,https://github.com/StartupsPoleEmploi/zen/pull/384,2020-03-13T23:22:44Z,MERGED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1208,StartupsPoleEmploi/zen,385,https://github.com/StartupsPoleEmploi/zen/pull/385,2020-03-13T23:24:19Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
