repository,continuous_integration,documentation,unit_test,community,history,license,management
things-factory/shell,0,0.0724529707580555,0.0,4,71.92307692307692,1,0.07692307692307693
aaronguostudio/learning,0,0.0924596576558407,0.00032035880185808104,2,20.157894736842106,0,0.05263157894736842
MrDemonWolf/share,1,0.0533008328255129,0.16092449038185472,1,62.92857142857143,1,0.07142857142857142
prefeiturasp/SME-Terceirizadas-Frontend,1,0.006208808873171516,0.07480502944453286,6,163.71428571428572,1,0.07142857142857142
theNorstroem/FuroBaseComponents,0,0.1655056333808917,0.1406791089980228,2,184.78571428571428,1,0.07142857142857142
rainbow-me/rainbow,0,0.022730004567637088,0.00017612998392813896,5,176.96153846153842,1,0.038461538461538464
jpazureid/blog,0,0.016797878162758392,0.0,7,47.07142857142857,0,0.07142857142857142
blackflux/object-treeify,0,0.0021598272138228947,0.7025316455696202,3,80.42857142857143,1,0.07142857142857142
progedu/forum-ranking,0,0.00042733520886008335,0.0,1,38.0,0,0.07142857142857142
tvjsx/trading-vue-js,0,0.003182627208122702,0.0,1,36.307692307692314,1,0.07692307692307693
podlove/podlove-ui,0,0.00443927809121063,0.5476386278195489,6,32.47422680412371,1,0.010309278350515464
the-labo/the,1,0.11781361022238795,0.15121155083271784,1,77.64285714285714,0,0.07142857142857142
ember-codemods/ember-angle-brackets-codemod,1,0.035973597359735966,0.042279411764705885,5,28.785714285714285,1,0.07142857142857142
HardlyDifficult/ethgc,0,0.06581311769991015,0.0973830973830974,2,56.5,1,0.07142857142857142
LeedsJS/website,0,0.002140181915462814,0.0,1,16.0,1,0.07692307692307693
brainstormforce/ultimate-addons-for-gutenberg,1,0.08769344141488578,0.0,6,121.14285714285714,0,0.03571428571428571
TryGhost/Members,0,0.10879025239338556,0.08221680876979294,3,25.61111111111111,1,0.05555555555555555
jibin2706/jibin.tech,0,0.003893322951138797,0.0,1,25.357142857142854,1,0.07142857142857142
LabKey/platform,0,0.21492669191007446,0.0,12,198.62758620689652,0,0.006896551724137931
reactjs/ka.reactjs.org,0,0.02047035978208102,0.0,475,59.216867469879524,1,0.012048192771084338
ckeditor/ckeditor5-mention,1,0.14620822622107968,0.6620621608288111,3,37.846153846153854,1,0.07692307692307693
milieuinfo/webcomponent-vl-ui-checkbox,0,0.005790007759804214,0.15811088295687886,3,23.538461538461537,0,0.07692307692307693
not-a-bank/open-banking-tracker-data,0,0.0003626473254759746,0.0,2,72.64285714285714,1,0.07142857142857142
blockparty-sh/slp-explorer,0,0.008197276607275929,0.0,1,38.57142857142857,0,0.07142857142857142
shunwuyu/lesson_md,0,0.02677371867632029,0.0009449757482365027,3,54.5,0,0.07142857142857142
amits97/naadan-chords,0,0.004837137444593625,0.0,1,25.714285714285715,0,0.07142857142857142
SAP/spartacus-storefront-builds,0,0.11095479018424828,0.0,1,89.0,0,0.07142857142857142
blackflux/smart-fs,0,0.000709156989628579,0.6019417475728155,3,96.78571428571428,1,0.07142857142857142
WTTJ/welcome-ui,0,0.014667000640115778,0.06929319553305126,4,71.71428571428571,1,0.07142857142857142
scandipwa/scandipwa,0,0.09435415119764597,0.011389839983229684,9,148.78571428571428,1,0.07142857142857142
HQ20/soldoc,1,0.16531165311653118,0.9614093959731544,2,58.57142857142857,1,0.07142857142857142
