,repository,package,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
29,AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,^2.2.4,2.2.4,5.0.0,5.0.0,2.2.4,2.0.0,2020-10-11 17:47:59-04:00,2020-02-07T20:15:18.381Z,2020-02-07T20:15:18.381Z,2020-04-16T17:53:36Z,68,package-lock.json
30,AresMUSH/ares-webportal,jquery,50db3014932676fac158d26c8b1b583c8282f0bc,^3.5.0,3.5.0,3.5.0,3.5.0,3.5.0,3.4.1,2020-04-23 22:13:08-04:00,2020-04-10T15:41:47.872Z,2020-04-10T15:41:47.872Z,2020-04-30T02:30:08Z,69,package-lock.json
31,AssemblyScript/binaryen.js,minimist,a03afebacbf630137c7f800e61862d98833f9515,,1.2.5,1.2.5,1.2.5,1.2.5,1.2.0,2020-03-13 23:30:06+01:00,2020-03-12T22:16:19.463Z,2020-03-12T22:16:19.463Z,2020-03-13T22:01:22Z,24,package-lock.json
32,Automattic/mongoose,acorn,3a7cbb1002d20ec372573f9ea04e478511c8b433,,,7.1.1,7.1.1,7.1.1,5.7.3,2020-03-16 10:34:26-04:00,2020-03-01T12:39:27.836Z,2020-03-01T12:39:27.836Z,2020-03-15T18:16:04Z,8674,
33,Backendless/Console-SDK,lodash,578e1ccf09dba6cee56a9c3539bd1e4ea6cf3600,^4.17.2,4.17.15,4.17.15,4.17.15,4.17.13,4.17.11,2020-03-04 10:59:55+02:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-10-28T15:34:50Z,72,package-lock.json
34,Backendless/Console-SDK,mixin-deep,82b86163be7fea75689999345be1453e33d43396,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2019-10-28 16:38:30+01:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-10-28T15:34:52Z,73,package-lock.json
35,Backendless/Console-SDK,js-yaml,82b86163be7fea75689999345be1453e33d43396,,3.13.1,3.13.1,3.13.1,3.13.1,3.12.1,2019-10-28 16:38:30+01:00,2019-04-05T16:15:22.531Z,2019-04-05T16:15:22.531Z,2019-10-28T15:34:53Z,74,package-lock.json
36,BoostIO/Boostnote,eslint,27e403108cab69689bc160b8e9b38b7e865cf955,^4.18.2,4.19.1,7.0.0-alpha.0,6.8.0,4.18.2,3.19.0,2020-02-05 09:46:18+13:00,2020-01-17T16:43:52.739Z,2019-12-20T21:04:35.627Z,2019-10-29T04:30:13Z,3325,yarn.lock
37,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-05-06 11:17:31+08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-02T21:27:53Z,295,package-lock.json
38,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-05-06 11:17:31+08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:10Z,297,package-lock.json
