,repository,package,fix_commit,dep_file_fix_version,min_satisfying_version,latest_stable_version,pr_version,pr_number,pr_date,fix_date,pr_fix_diff,inspired
46,IFRCGo/go-frontend,acorn,9354d6922d210c4d840230fa60254973afc8e7e6,^6.0.0,6.0.0,7.2.0,6.4.1,1003,2020-03-13T23:04:44Z,2020-05-12 18:42:58+05:45,"59,13",False
47,Kommunicate-io/Kommunicate-Web-SDK,minimist,310e565166bb95f922b3722a1dd0d0f75fc9a758,1.2.5,1.2.5,1.2.5,1.2.5,449,2020-04-06T16:13:11Z,2020-05-08 00:41:49+05:30,"31,2",False
48,MoTrPAC/motrpac-frontend,auth0-js,92276b98bd57541bc2126ca33435dd3bf1d980c1,^9.13.2,9.13.2,9.13.2,9.13.2,63,2020-04-10T18:46:47Z,2020-04-22 10:31:53-07:00,"11,22",False
49,MoTrPAC/motrpac-frontend,jquery,334185f5b24a680419feee757e9162c4662e36e8,^3.5.1,3.5.1,3.5.1,3.5.0,65,2020-04-30T00:55:35Z,2020-05-05 13:02:46-07:00,"5,19",False
50,MoTrPAC/motrpac-frontend,jquery,334185f5b24a680419feee757e9162c4662e36e8,^3.5.1,3.5.1,3.5.1,3.5.0,65,2020-04-30T00:55:35Z,2020-05-05 13:02:46-07:00,"5,19",False
51,Modernizr/Modernizr,lodash,569b6824bebed3eb6cec50eb42434a05f147d3c9,^4.17.14,4.17.14,4.17.14,4.17.13,2461,2019-07-11T18:38:38Z,2019-07-12 21:33:10+02:00,"1,0",False
52,OpenKnowledgeMaps/Headstart,handlebars,6243a280d7b76c5852a627b473059569f91990f5,^4.5.1,4.5.1,4.5.1,4.1.2,385,2019-10-31T16:07:37Z,2019-11-12 17:04:22+00:00,"12,0",False
53,OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,3.4.1,3.4.1,4.5.2,3.4.1,401,2020-01-30T19:39:39Z,2020-10-06 15:35:01+02:00,"249,17",True
54,OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,3.4.1,3.4.1,4.5.2,3.4.1,401,2020-01-30T19:39:39Z,2020-10-06 15:35:01+02:00,"249,17",True
55,OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,3.4.1,3.4.1,4.5.2,3.4.1,401,2020-01-30T19:39:39Z,2020-10-06 15:35:01+02:00,"249,17",True
56,OpenKnowledgeMaps/Headstart,jquery,638381602150a41ea4caf20e53910f019df4bc40,^3.5.1,3.5.1,3.5.1,3.4.0,383,2019-10-31T16:07:36Z,2020-06-25 12:02:56+02:00,"237,17",False
57,OpenKnowledgeMaps/Headstart,jquery,638381602150a41ea4caf20e53910f019df4bc40,^3.5.1,3.5.1,3.5.1,3.5.0,429,2020-04-29T23:11:20Z,2020-06-25 12:02:56+02:00,"56,10",False
58,OpenKnowledgeMaps/Headstart,jquery,638381602150a41ea4caf20e53910f019df4bc40,^3.5.1,3.5.1,3.5.1,3.4.0,383,2019-10-31T16:07:36Z,2020-06-25 12:02:56+02:00,"237,17",False
59,OpenKnowledgeMaps/Headstart,jquery,638381602150a41ea4caf20e53910f019df4bc40,^3.5.1,3.5.1,3.5.1,3.5.0,429,2020-04-29T23:11:20Z,2020-06-25 12:02:56+02:00,"56,10",False
60,OpenNeuroOrg/openneuro,codecov,4521dffd47e2873084ba962eb031935870105311,^3.0.0,3.0.0,4.0.0-0,3.6.5,1546,2020-02-19T18:48:35Z,2020-02-20 15:14:08-08:00,"1,4",False
61,OpenUserJS/OpenUserJS.org,jquery,f645d88b8249c48c616d3d3525075767da7bf3de,3.5.1,3.5.1,3.5.1,3.5.0,1719,2020-04-29T22:53:31Z,2020-05-15 13:25:01-06:00,"15,20",False
62,OpenUserJS/OpenUserJS.org,jquery,f645d88b8249c48c616d3d3525075767da7bf3de,3.5.1,3.5.1,3.5.1,3.5.0,1719,2020-04-29T22:53:31Z,2020-05-15 13:25:01-06:00,"15,20",False
63,OrangeXC/gank,codecov,9800cfc30d2baacc3870f3eb344bb27812592200,^3.6.5,3.6.5,4.0.0-0,3.6.5,299,2020-02-19T18:42:45Z,2020-03-01 15:15:59+08:00,"10,12",True
64,Photosynq/PhotosynQ-Documentation,minimist,ce144a5b47da42151c38720f0867406f9e0725ef,^1.2.5,1.2.5,1.2.5,1.2.2,5,2020-03-16T18:58:55Z,2020-03-24 09:52:42-04:00,"7,18",False
65,Plant-for-the-Planet-org/treecounter-app,webpack-dev-server,e0e86f4143a71803d72709f94c641611585cdad2,^3.9.0,3.9.0,3.9.0,3.1.11,916,2019-06-16T22:06:21Z,2019-11-21 16:39:47+01:00,"157,17",False
66,RebusFoundation/reader-api,knex,9b03416fc33f27f1c77ffea8d7469f6444920ab4,^0.19.5,0.19.5,0.19.5,0.19.5,365,2019-10-21T17:34:17Z,2019-10-23 11:26:16-04:00,"1,21",False
67,RecallGraph/RecallGraph,lodash,9f8abc6c34004d0951744d85dc15729b9a12b8af,>=4.17.13,4.17.13,4.17.15,4.17.15,4,2019-07-23T06:12:59Z,2019-07-23 11:43:02+05:30,"0,0",False
68,RobinHerbots/Inputmask,lodash,378a7d171d3b9983b3039d356f4041ee55532194,^4.17.19,4.17.19,4.17.19,4.17.15,2307,2020-04-13T16:21:12Z,2020-07-30 14:17:13+02:00,"107,19",False
69,SAP/luigi,lodash.template,7586ed8f0f1d986be4202cc2abcf0198f6532896,>=4.5.0,4.5.0,4.5.0,4.5.0,645,2019-07-11T01:40:39Z,2019-07-11 14:15:23+02:00,"0,10",False
70,Shyam-Chen/Vue-Starter,lodash,b7dc7b1c5a9079c34a5581f0c4e62ba11b8a768d,4.17.15,4.17.15,4.17.15,4.17.15,44,2019-10-29T03:54:08Z,2019-12-19 10:09:21+08:00,"50,22",False
71,Shyam-Chen/Vue-Starter,lodash,b7dc7b1c5a9079c34a5581f0c4e62ba11b8a768d,4.17.15,4.17.15,4.17.15,4.17.15,44,2019-10-29T03:54:08Z,2019-12-19 10:09:21+08:00,"50,22",False
72,StatEngine/stat-engine,webpack-bundle-analyzer,ae4c2f15d97bb7bbe63d3c2acef40ad9d5bf4af3,^3.3.2,3.3.2,3.6.0,3.3.2,393,2019-10-28T22:39:43Z,2019-10-29 15:57:33-10:00,"1,3",True
73,StatEngine/stat-engine,angular,5b5ee56b376c98bc7abf3046e7b46f4720f25821,^1.8.2,1.8.2,1.8.2,1.7.9,416,2019-11-20T15:48:49Z,2021-02-09 15:16:00-05:00,"447,4",False
74,StataBS/indikatoren,serialize-javascript,32a4d87fa169c2517085361f37ab4ad6658c44dd,^2.1.2,2.1.2,3.0.0,2.1.1,1599,2019-12-05T18:59:03Z,2020-02-19 09:20:43+01:00,"75,13",False
75,StataBS/indikatoren,jquery,4399f22ebd967523c6a0ccd7ccd7a6a0b19e97f9,^3.5.1,3.5.1,3.5.1,3.5.0,1759,2020-04-29T23:15:11Z,2020-07-10 08:45:34+02:00,"71,7",False
76,StataBS/indikatoren,jquery,4399f22ebd967523c6a0ccd7ccd7a6a0b19e97f9,^3.5.1,3.5.1,3.5.1,3.5.0,1759,2020-04-29T23:15:11Z,2020-07-10 08:45:34+02:00,"71,7",False
77,StraboSpot/strabo-mobile,lodash.mergewith,c0025e5359bd5fc94e593d66ad0646ceaaa2ec6c,>=4.6.2,4.6.2,4.6.2,4.6.2,595,2019-10-29T18:29:30Z,2019-10-29 12:02:57-07:00,"0,0",False
78,StraboSpot/strabo-mobile,mixin-deep,e6413b2542760a4034010aad6d7bede5ecc02e98,>=1.3.2,1.3.2,2.0.1,1.3.2,596,2019-10-29T18:29:30Z,2019-10-29 11:59:45-07:00,"0,0",True
79,StraboSpot/strabo-mobile,eslint,72e4895b8d2a82468680e8989c4b73415961b84e,>=4.18.2,4.18.2,6.6.0,4.18.2,597,2019-10-29T18:29:31Z,2019-10-29 12:04:43-07:00,"0,0",True
80,StraboSpot/strabo-mobile,handlebars,aadc6ac54d1145696da29fb42241b0120fa4e072,>=4.0.14,4.0.14,4.5.1,4.5.1,598,2019-10-29T18:29:35Z,2019-10-29 11:58:26-07:00,"0,0",False
81,StraboSpot/strabo-mobile,bower,ea9e5f442e7ef1ebf371543cae59623c15a47fc4,^1.8.8,1.8.8,1.8.8,1.8.8,599,2019-10-29T18:30:13Z,2019-10-29 11:52:21-07:00,"0,0",False
82,StraboSpot/strabo-mobile,fstream,a704ccdfb70db914a6f07d1429a7995c60577403,>=1.0.12,1.0.12,1.0.12,1.0.12,600,2019-10-29T18:58:08Z,2019-10-29 12:10:48-07:00,"0,0",False
83,StraboSpot/strabo-mobile,tar,afc3367bbc6fc00aa3f0ff96cc32b29886d476d0,>=2.2.2,2.2.2,5.0.5,2.2.2,601,2019-10-29T19:00:05Z,2019-10-29 12:11:38-07:00,"0,0",True
84,StraboSpot/strabo-mobile,extend,3f5c6244b2117357b831386c9607a0ebadfeb67e,>=3.0.2,3.0.2,3.0.2,3.0.2,602,2019-10-29T19:01:24Z,2019-10-29 12:12:26-07:00,"0,0",False
85,TaleLin/lin-ui,lodash,990cf5e5aba5108adf4355199e4c8b3b92ef8448,^4.17.15,4.17.15,4.17.15,4.17.13,594,2019-11-14T16:03:00Z,2020-05-13 12:00:05+08:00,"180,11",False
86,TankerHQ/sdk-js,codecov,5f8b774afab855ba369677406d06931ec2fdff89,3.6.5,3.6.5,4.0.0-0,3.6.5,9,2020-02-19T18:05:56Z,2020-02-20 10:35:07+01:00,"0,15",True
87,Tsuk1ko/cq-picsearcher-bot,minimist,c0ff5c7d5e5b3295e5a5daaa8f76214dca3de6a7,^1.2.5,1.2.5,1.2.5,1.2.2,51,2020-03-17T08:27:48Z,2020-03-17 16:30:27+08:00,"0,0",False
88,alexlitel/congresstweets-automator,eslint,9ac0fb8cbff04b6e9b2b707ab13165619fb1c715,^6.8.0,6.8.0,6.8.0,4.18.2,12,2019-10-12T23:55:46Z,2020-05-02 12:24:11-07:00,"202,19",False
89,algenty/grafana-flowcharting,jquery,17c89c1e3314a4a145082ffeac16deca68f9459f,^3.4.1,3.4.1,3.5.1,3.5.0,153,2020-04-30T03:48:52Z,2020-05-16 14:10:18+02:00,"16,8",False
90,algenty/grafana-flowcharting,jquery,17c89c1e3314a4a145082ffeac16deca68f9459f,^3.4.1,3.4.1,3.5.1,3.5.0,153,2020-04-30T03:48:52Z,2020-05-16 14:10:18+02:00,"16,8",False
91,anlix-io/flashman,jquery,fa27e1199a79175c8437b853e1c60123e776061a,~3.5.1,3.5.1,3.5.1,3.5.0,93,2020-04-29T23:25:58Z,2020-05-18 00:08:37-03:00,"18,3",False
92,anlix-io/flashman,jquery,fa27e1199a79175c8437b853e1c60123e776061a,~3.5.1,3.5.1,3.5.1,3.5.0,93,2020-04-29T23:25:58Z,2020-05-18 00:08:37-03:00,"18,3",False
93,apache/echarts-doc,marked,580c4b1af86e7a48b622f1a9e8f2d18259f7042a,^0.3.19,0.3.19,1.1.0,0.3.18,73,2019-10-31T07:54:20Z,2020-06-13 21:40:54+08:00,"226,5",False
94,appirio-tech/connect-app,axios,37aa0a459be5a407fcebc646fc6bb6f8688fd810,^0.19.2,0.19.2,0.19.2,0.18.1,3367,2019-11-02T09:46:45Z,2020-05-15 13:04:25+03:00,"195,0",False
95,asyncapi/generator,lodash,35467248385396149f5ed333ed5992f2a1c929c0,^4.17.15,4.17.15,4.17.15,4.17.13,70,2019-07-11T18:05:20Z,2019-08-01 11:25:34+02:00,"20,15",False
96,b2wads/grimorio-ui,webpack-bundle-analyzer,ed113cff4730a228882111fc288d843372a6dc97,3.3.2,3.3.2,3.5.2,3.3.2,74,2019-10-10T19:21:58Z,2019-10-10 17:09:00-03:00,"0,0",True
97,baukh789/GridManager,codecov,1cde7009cca2ac177d0d8f5ca2455c0848f41642,^3.7.1,3.7.1,4.0.0-0,3.6.5,147,2020-02-19T17:37:03Z,2020-08-25 17:43:51+08:00,"187,16",False
98,binary-com/binary-static,jquery,504e0c083d9ecb78e681303d44363bf914552e0c,^3.5.1,3.5.1,3.5.1,3.5.0,6002,2020-04-30T00:43:50Z,2020-05-11 00:48:26+04:30,"10,19",False
99,binary-com/binary-static,jquery,504e0c083d9ecb78e681303d44363bf914552e0c,^3.5.1,3.5.1,3.5.1,3.5.0,6002,2020-04-30T00:43:50Z,2020-05-11 00:48:26+04:30,"10,19",False
100,brownplt/code.pyret.org,lodash,94bcebe4c9dab97a3bd807278efd09f395561c3b,^4.17.15,4.17.15,4.17.15,4.17.15,322,2019-12-19T21:38:20Z,2019-12-19 14:33:00-08:00,"0,0",False
101,brownplt/code.pyret.org,lodash,94bcebe4c9dab97a3bd807278efd09f395561c3b,^4.17.15,4.17.15,4.17.15,4.17.15,322,2019-12-19T21:38:20Z,2019-12-19 14:33:00-08:00,"0,0",False
102,brownplt/code.pyret.org,lodash,94bcebe4c9dab97a3bd807278efd09f395561c3b,^4.17.15,4.17.15,4.17.15,4.17.15,322,2019-12-19T21:38:20Z,2019-12-19 14:33:00-08:00,"0,0",False
103,brownplt/code.pyret.org,lodash,94bcebe4c9dab97a3bd807278efd09f395561c3b,^4.17.15,4.17.15,4.17.15,4.17.15,322,2019-12-19T21:38:20Z,2019-12-19 14:33:00-08:00,"0,0",False
104,bunq/doc,swagger-ui,4c08456139f07f5dab28605f6f8831f3985602d3,^3.31.1,3.31.1,3.31.1,3.23.11,104,2019-11-01T12:39:47Z,2020-08-14 14:04:29+02:00,"286,23",False
105,chteuchteu/MaterialDesignIcons-Picker,webpack-dev-server,f344b4b89e29484021f36050c3f2d7f8bbb49a18,^3.11.0,3.11.0,3.11.0,3.1.11,44,2019-09-28T09:16:24Z,2020-10-20 15:25:01+02:00,"388,4",False
106,citizenos/citizenos-api,node-uuid,0d7bd361c921857a676159dddaf1861f4e0daaff,1.4.8,1.4.8,1.4.8,1.4.8,166,2020-04-16T03:34:33Z,2020-04-21 15:41:04+03:00,"5,9",False
107,codex-protocol/service.eel,mongoose,e7a8f64b32a4723030a1649635bf128c6f7e40f8,^5.9.7,5.9.7,5.9.9,5.7.5,5,2019-10-29T15:10:12Z,2020-04-13 14:44:09-05:00,"167,4",False
108,collectionspace/cspace-ui.js,eslint,f164291d3f76fcd4ee1a8d14ea5d79b68b9796b2,^6.7.2,6.7.2,6.7.2,4.18.2,112,2019-11-02T14:04:46Z,2019-12-19 23:30:35-08:00,"47,17",False
109,compiler-explorer/compiler-explorer,jquery,e86bdf89ed29c74e1850f568be2ada4d728f0df8,^3.5.1,3.5.1,3.5.1,3.5.0,1950,2020-04-30T03:43:58Z,2020-06-09 20:10:00-05:00,"40,21",False
110,compiler-explorer/compiler-explorer,jquery,e86bdf89ed29c74e1850f568be2ada4d728f0df8,^3.5.1,3.5.1,3.5.1,3.5.0,1950,2020-04-30T03:43:58Z,2020-06-09 20:10:00-05:00,"40,21",False
111,cruise-automation/webviz,lodash,d1e2b7422f5b16eebbd5d76b98db27780a3606b5,^4.17.11,4.17.11,4.17.20,4.17.13,231,2019-09-25T00:57:10Z,2020-08-31 14:48:39-07:00,"341,20",False
112,cruise-automation/webviz,lodash,d1e2b7422f5b16eebbd5d76b98db27780a3606b5,^4.17.11,4.17.11,4.17.20,4.17.13,232,2019-09-25T00:57:12Z,2020-08-31 14:48:39-07:00,"341,20",False
113,cruise-automation/webviz,lodash,d1e2b7422f5b16eebbd5d76b98db27780a3606b5,^4.17.11,4.17.11,4.17.20,4.17.13,237,2019-09-25T00:57:47Z,2020-08-31 14:48:39-07:00,"341,20",False
114,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1321,2019-08-27T13:32:49Z,2020-09-02 10:20:38+04:00,"371,16",True
115,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1323,2019-08-27T13:32:49Z,2020-09-02 10:20:38+04:00,"371,16",True
116,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.13,1328,2019-08-27T13:32:53Z,2020-09-02 10:20:38+04:00,"371,16",False
117,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1335,2019-08-27T13:32:58Z,2020-09-02 10:20:38+04:00,"371,16",True
118,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1337,2019-08-27T13:32:59Z,2020-09-02 10:20:38+04:00,"371,16",True
119,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1342,2019-08-27T13:33:02Z,2020-09-02 10:20:38+04:00,"371,16",True
120,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1343,2019-08-27T13:33:03Z,2020-09-02 10:20:38+04:00,"371,16",True
121,date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,^4.17.15,4.17.15,4.17.20,4.17.15,1365,2019-08-27T13:34:09Z,2020-09-02 10:20:38+04:00,"371,16",True
