repository,start_commits_total,end_commits_total,total_authors,package.json,mocha,jest,jasmine,karma,puppeteer,nightwatch,cypress,playwright,selenium-webdriver,github_actions,circleci,travisci,appveyor,jenkins,gitlab,azure,size,age
catho/quantum,1773,2208,35,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,48.33,1173
sillvva/rpg-schedule,341,1167,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.67,874
ArcBlock/forge-js,655,1304,9,1,0,0,0,0,0,0,0,0,0,-1,-1,5,-1,-1,-1,-1,12.86,874
StraboSpot/StraboSpot-Mobile,275,2353,8,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,148.47,875
liferay/liferay-npm-tools,260,1287,12,1,0,0,0,0,0,0,0,0,0,-1,-1,5,-1,-1,-1,-1,7.36,1368
vulturno/vulturno,179,333,3,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,57.72,887
wubaiqing/zaobao,299,1055,10,1,0,1,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,8.05,888
sanusart/react-dropdown-select,218,353,13,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,47.55,888
F5Networks/f5-declarative-onboarding,626,1953,28,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,88,-1,58.93,994
ronggang/PT-Plugin-Plus,540,1389,32,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.09,897
carbon-design-system/carbon-addons-iot-react,685,7772,58,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,189.86,901
nib-edit/Nib,110,459,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.9,897
rob-balfre/svelte-select,195,526,30,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.39,901
cruise-automation/webviz,149,372,24,1,0,1,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,417.6,903
unchainedshop/unchained,619,2462,11,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,53.99,1113
santiment/app,1655,10229,25,1,0,0,0,0,1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,51.5,906
SPLA/VARIAMOS-WEB,167,480,27,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,7.86,907
OpenZeppelin/openzeppelin-test-helpers,120,236,26,1,0,0,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,1.39,913
DDDEastMidlandsLimited/dddem-web,119,475,26,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,132.26,913
moneybutton/bsv,3636,8003,130,1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,29.4,2888
makerdao/mcd-cdp-portal,406,2360,38,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,12.02,901
kartverket/Geonorge.Kartkatalog.React,432,845,8,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,7.42,916
cylc/cylc-ui,238,1666,19,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,20.58,921
bufferapp/ui,597,1226,32,1,0,1,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,46.84,923
bigbluebutton/bbb-webrtc-sfu,474,1080,15,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.43,1076
MaayanLab/signature-commons-ui,502,1363,6,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,446.27,928
Tradeshift/elements,112,531,16,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,0,-1,-1,10.03,928
daostack/migration,169,286,13,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,6.65,930
welldone-software/why-did-you-render,110,390,26,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.46,933
