repository,start_commits_total,end_commits_total,total_authors,package.json,mocha,jest,jasmine,karma,puppeteer,nightwatch,cypress,playwright,selenium-webdriver,github_actions,circleci,travisci,appveyor,jenkins,gitlab,azure,size,age
SAP/luigi,303,1120,48,1,0,0,0,0,0,0,0,0,0,-1,-1,51,-1,-1,-1,-1,80.23,1036
kyma-project/console,419,1075,61,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,34.92,1042
digipolisantwerp/acpaas-ui_react,459,1022,27,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,18.0,1147
tracking-exposed/yttrex,124,611,13,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,915.74,1065
accessibilitysupported/a11ysupport.io,367,929,12,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,2.57,1065
RedHatInsights/vulnerability-ui,617,2006,28,1,0,1,0,0,0,0,0,0,0,-1,-1,6,-1,-1,-1,-1,78.0,1106
dashevo/wallet-lib,106,295,19,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.77,1070
Integreat/integreat-react-native-app,949,3961,24,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,38.36,1072
makerdao/governance-portal,879,1331,22,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.24,1075
ninjadotorg/handshake-i18n,13940,38721,5,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,20.92,1074
magento/pwa-studio,664,1719,153,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,592.26,1083
codefordenver/Comrad,965,2060,24,1,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,48.9,1085
StanfordHCI/bang,1597,2137,27,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,23.08,1088
Amsterdam/signals-frontend,1901,7900,39,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,43.19,1089
betagouv/eva,523,1405,10,1,1,0,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,215.36,948
bmlt-enabled/crouton,274,534,11,1,0,0,0,0,0,0,0,0,0,-1,-1,18,-1,-1,-1,-1,2.14,1091
ChilliCream/hotchocolate-docs,236,376,51,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,16.49,1091
wazo-platform/wazo-js-sdk,668,2098,26,1,0,1,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,8.02,1092
IHTSDO/authoring-ui,5182,5876,23,1,0,0,0,1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,26.28,2180
herotc/bfa.herodamage.com,573,741,5,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,3686.4,1094
genouest/genouestaccountmanager,240,672,11,1,1,0,0,0,0,0,0,0,0,-1,-1,17,-1,-1,-1,-1,4.1,1095
Netflix/pollyjs,238,328,32,1,1,1,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,3.57,1095
segmentio/analytics.js-integrations,122,386,40,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.76,1096
mozilla/Spoke,1683,2576,31,1,0,0,0,0,0,0,0,0,0,-1,16,-1,-1,13,-1,-1,106.6,1099
Simonwep/pickr,325,600,33,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,6.7,1100
asterics/AsTeRICS-Grid,961,2257,5,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,108.46,1103
vtex-apps/store,1048,1944,106,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.15,1104
CityOfPhiladelphia/phila.gov-router,480,1405,17,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.68,1137
guidokessels/xwing-data2,636,1140,32,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.64,1109
bytedance/xgplayer,371,907,39,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,434.68,1111
GuacLive/guac-web,206,2687,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15.97,1111
your-digital-rights/yourdigitalrights.org,230,686,15,1,1,0,0,0,0,0,0,0,0,-1,14,-1,-1,-1,-1,-1,9.47,1115
orbs-network/orbs-ethereum-contracts-v1,996,1605,22,0,0,0,0,0,0,0,0,0,0,-1,10,-1,-1,-1,-1,-1,23.24,1112
integrations/jira,315,729,32,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,30.28,1113
studiodrishti/recipe-lab,268,560,4,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.77,1125
StartupsPoleEmploi/zen,1044,2199,16,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,10.33,1124
bespoken/skill-testing-ml,276,547,10,1,0,1,0,0,0,0,0,0,0,-1,2,-1,1,-1,-1,-1,5.05,1149
Plant-for-the-Planet-org/treecounter-app,3138,6592,49,1,0,1,0,0,0,0,0,0,0,-1,44,-1,-1,-1,-1,-1,70.58,1124
CivicActions/civicactions.com,1638,2919,25,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,17,-1,-1,175.42,1126
catdad/raw-viewer,837,1335,2,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.68,1128
ensdomains/ens-app,693,1673,32,1,0,0,0,0,0,0,1,0,0,-1,-1,16,-1,-1,-1,-1,21.97,1130
Tiledesk/tiledesk-server,649,2762,9,1,1,0,0,0,0,0,0,0,0,-1,-1,4,-1,-1,-1,-1,10.5,1130
UKHomeOffice/hocs-frontend,175,274,14,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,11.02,1123
DemonCloud/cubec,107,199,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.55,1131
software-mansion/react-native-reanimated,160,811,160,1,0,1,0,0,0,0,0,0,0,-1,-1,15,-1,-1,-1,-1,138.31,1132
FrontEndFoxes/curriculum,192,554,64,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,62.35,1132
Back2bikes/attendance,1363,2806,40,1,0,0,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,81.57,1132
willin/github-trending,411,1124,5,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,1.87,1133
kubesphere/ks-website,178,383,22,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,14.52,1136
fjp/fjp.github.io,2210,4262,218,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,165.78,2929
iov-one/iov-core,4169,5836,23,1,0,0,1,1,0,0,0,0,0,-1,-1,4,1,-1,-1,-1,13.26,1140
SuitestAutomation/suitest-js-api,252,453,17,1,1,0,0,0,0,0,0,0,0,-1,3,-1,-1,-1,-1,-1,2.53,1140
bunq/doc,301,424,20,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,13.65,1141
altangent/ccxws,283,777,33,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.83,1144
dimaportenko/magento-react-native,234,418,13,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,33.79,1401
weave-microservices/weave,313,840,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,130.61,1146
ksc-fe/kpc,1603,2592,18,1,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,420.47,1147
gladly-team/tab-homepage,375,844,6,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,190.14,1147
vtex-apps/store-components,2211,4302,158,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.3,1148
Faithlife/styled-ui,679,1355,60,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,18.93,1148
keystonejs/keystone,2517,6060,175,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,369.0,1152
buxlabs/boxwood,669,1476,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.53,1157
citizenos/citizenos-api,2034,3271,8,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,63.01,1160
moonwalker/orbit,493,758,10,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,29.57,1168
uc-cdis/gen3-qa,220,1251,32,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,10,-1,-1,7.0,1161
lifeomic/cli,374,794,33,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.64,1165
codex-protocol/service.eel,106,146,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.73,1165
mozilla/contain-facebook,613,1273,202,1,1,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,3.53,1168
AlexsLemonade/refinebio-frontend,1463,2007,21,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,24.53,1168
marp-team/marpit,714,1047,5,1,0,1,0,0,0,0,0,0,0,-1,20,-1,-1,-1,-1,-1,4.16,1170
KyberNetwork/kyber-tracker,1247,1850,15,1,1,0,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,13.14,1190
botfront/rasa-webchat,328,701,30,1,0,1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,7.86,1405
SymphonyPlatformSolutions/symphony-api-client-node,138,243,23,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.78,1172
iguazio/dashboard-controls,540,1133,19,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,13.67,1173
CodeforKarlsruhe/direktvermarkter,768,889,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1
wordpress-mobile/gutenberg-mobile,3848,9367,77,1,0,1,0,0,0,0,0,0,0,-1,143,-1,-1,-1,-1,-1,-1.0,-1
king-prawns/webpack5-starter-kit,110,227,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.21,1176
MyScienceWork/PolarisOS,1004,1957,9,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,35.79,1337
HackYourFuture/JavaScript3,520,627,35,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,15.96,1692
connectome-neuprint/neuPrintExplorer,823,1365,7,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,48.87,1178
haiwen/seafile-js,220,409,23,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.36,1178
ghostery/ghostery-extension,699,1079,33,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,32.24,1181
kirjavascript/nibblrjr,486,1633,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9.93,1182
lykmapipo/express-common,118,194,4,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,1.46,1181
electron/dependent-repos,1937,2046,6,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,913.13,1184
biuuu/BLHXFY,655,823,29,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,65.63,1185
eBay/ebayui-core,544,1414,33,1,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,113.6,1188
DevExpress/devextreme-react,214,322,23,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.4,1189
minimit/xtendui,1640,5205,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,432.71,1192
Frontify/sketch,103,259,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.54,1193
DataBiosphere/terra-ui,816,1544,48,1,0,0,0,0,0,0,0,0,0,-1,30,-1,-1,-1,-1,-1,364.06,1193
Hacker0x01/docs.hackerone.com,1937,2850,56,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,292.49,1195
flussonic/mse-player,144,330,15,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.87,1195
uwcirg/tb-mobile-app,304,752,8,1,0,0,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,37.69,1195
nmxiaowei/avue,310,391,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,156.97,911
pinterest/gestalt,372,1710,103,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,45.84,1200
ICIJ/datashare-client,1104,3835,16,1,0,0,0,0,0,0,0,0,0,-1,29,-1,-1,-1,-1,-1,117.45,1201
evgeny-nadymov/telegram-react,432,1280,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,641.66,1195
poanetwork/tokenbridge-contracts,577,839,20,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.73,1204
fakob/MoviePrint_v004,1767,2111,96,1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,21.52,2205
rexrainbow/phaser3-rex-notes,1376,3459,22,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,437.11,1204
navgurukul/chanakya,402,975,21,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,16.14,1205
UKHomeOffice/asl-schema,535,1582,5,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.69,1207
inkline/inkline,625,1906,13,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,100.96,1209
rei/rei-cedar-docs,1426,3179,29,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,139.02,1210
byu-oit/openapi-enforcer,1045,1376,19,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,4.36,1211
kccd/nkc,1873,4299,17,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,189.51,1327
orbiting/backends,4061,6196,23,1,0,1,0,0,0,0,0,0,0,-1,-1,23,-1,-1,-1,-1,16.7,1407
AresMUSH/ares-webportal,354,729,6,1,0,0,0,0,0,0,0,0,0,-1,-1,4,-1,-1,-1,-1,7.31,1252
AdguardTeam/FiltersRegistry,9541,27810,43,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5519.36,1214
ooni/explorer,558,1282,18,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,6.58,1520
gardener/dashboard,733,1277,48,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,278.09,1224
IUSCA/SQAN,395,696,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.04,2162
VizierDB/web-ui,162,350,10,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,19.63,1225
ManageIQ/manageiq-v2v,1890,2230,26,1,0,1,0,0,0,0,0,0,0,-1,-1,5,-1,-1,-1,-1,22.12,1227
osmlab/maproulette3,972,2260,18,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,21.92,1224
WebThingsIO/zigbee-adapter,124,286,22,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.32,1494
ebshimizu/stats-of-the-storm,804,886,5,1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,32.8,1234
infor-design/design-system,646,933,19,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,64.46,1235
lbryio/lbry-redux,305,924,44,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.39,1236
mrvautin/expressCart,144,565,20,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9.15,1241
ethereum/ethereum-org-website,192,7260,369,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,521.04,1242
water-fountains/datablue,186,542,10,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.03,1241
gfxfundamentals/threejsfundamentals,309,892,52,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,136.09,1243
jhipster/prettier-java,285,527,24,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.01,1240
pass-culture/pass-culture-browser,2122,4036,66,1,0,1,0,0,0,0,0,0,0,-1,33,-1,-1,-1,-1,-1,55.81,1244
ACM-UCI/ACM-UCI-Website,150,344,13,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,75.99,1246
immerjs/immer,714,1179,144,1,0,1,0,0,0,0,0,0,0,-1,-1,12,-1,-1,-1,-1,6.0,1249
keepassxreboot/keepassxc-browser,501,895,38,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.53,1526
react-navigation/react-navigation.github.io,581,1347,323,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,237.15,1251
Paturages/chorus,776,895,154,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,43.32,1252
seleb/bitsy-hacks,225,516,15,1,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15.26,1255
Criptext/Criptext-Email-React-Client,1853,2849,22,0,0,0,0,0,0,0,0,0,0,-1,3,-1,-1,-1,-1,-1,20.73,1259
danhumphrey/page-modeller,399,527,4,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,10.18,1258
Esri/calcite-react,677,1126,23,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,6.93,1260
SAPConversationalAI/Webchat,389,872,42,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9.8,1293
codeforequity-at/botium-core,514,1248,26,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.67,1265
makerdao/dai.js,1812,3431,39,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,12.16,1376
obniz/obniz,1488,3035,40,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,174.6,1270
ngageoint/opensphere,3644,6615,91,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,4,-1,-1,32.96,1272
xizon/uix-kit,564,771,4,1,0,0,0,0,0,0,0,0,0,-1,-1,16,-1,-1,-1,-1,106.29,1273
senti-iot/senti-console,2270,3259,8,1,0,0,0,0,0,0,0,0,0,-1,-1,19,-1,-1,-1,-1,18.32,1273
azu/ecmascript-proposals-json,123,820,4,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.16,1273
biocodellc/geome-ui,847,1380,22,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.54,2176
angrykoala/wendigo,731,987,18,1,1,0,0,0,1,0,0,0,0,-1,-1,6,-1,-1,3,-1,2.23,1278
axa-ch/patterns-library,1020,5951,35,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,23,73.47,1308
FUB-HCC/IKON-projektor,237,521,26,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,52.57,1278
30-seconds/30-seconds-of-code,5440,7529,477,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,608.67,1279
AdExNetwork/adex-platform,1464,5629,14,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,127.06,1379
ErikVerheul/OneBacklog,482,2335,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,10.78,892
imshuffling/davidrich.es,231,417,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,16.21,1283
koumoul-dev/data-fair,1238,2308,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,87.0,1284
optimistdigital/create-frontend,268,439,5,1,0,1,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,3.39,1285
final-form/react-final-form,327,508,112,1,0,1,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,7.07,1286
maticnetwork/contracts,390,1814,25,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,13.0,1286
json-editor/json-editor,814,1981,144,1,0,0,0,0,0,0,0,0,0,-1,-1,12,-1,-1,-1,-1,7.56,2745
elastic/apm-agent-rum-js,246,673,31,1,0,0,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.64,1288
EdgeVerve/oe-workflow,314,457,16,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.23,1328
cityofaustin/janis,1248,3450,25,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,35.12,1292
brave/brave-browser,1276,4507,83,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,158,-1,-1,24.15,1664
go-faast/faast-web,1879,2543,9,1,0,0,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,143.15,1299
appbaseio/reactivecore,298,593,21,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.16,1300
fluid-project/sjrk-story-telling,1116,1863,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,20.83,1406
IFRCGo/go-frontend,1330,4058,37,1,0,0,0,0,0,0,0,0,0,-1,3,-1,-1,-1,-1,-1,21.33,1303
gregnb/mui-datatables,351,926,135,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,6.7,1260
konecnyna/slack-cat,337,578,12,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,8.97,1286
finos/perspective,2607,4502,73,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,201.68,1306
LiskHQ/lisk-desktop,10694,18082,60,1,0,1,0,0,0,0,1,0,0,-1,-1,-1,-1,45,-1,-1,145.91,1828
abetomo/google-drive-cleaner,104,179,3,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.22,1305
samtecspg/articulate,854,1435,22,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,44.84,1350
Nodics/nodics,293,482,3,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,6.5,1326
qmk/qmk_configurator,465,869,117,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,26.43,1320
CarPalFleet/JavaScript-SDK,1294,1552,23,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,2.83,1319
OrangeXC/gank,387,741,3,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.49,1320
protofire/solhint,527,872,41,1,1,0,0,0,0,0,0,0,0,-1,-1,6,-1,-1,-1,-1,2.89,1358
Yuvaleros/material-ui-dropzone,106,428,56,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.94,1323
emazzotta/lighthouse-badges,266,769,5,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.91,1329
dpc-sdp/ripple,520,1029,31,1,0,1,0,0,0,0,0,0,0,-1,21,-1,-1,-1,-1,-1,23.86,1160
pqina/filepond,272,602,46,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.44,1319
surveyjs/custom-widgets,313,711,27,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,1.5,1330
ooni/probe-desktop,192,898,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.74,1347
kids-first/kf-portal-ui,1500,2876,43,1,0,0,0,0,0,0,0,0,0,-1,10,-1,-1,-1,-1,-1,33.9,1302
mozilla/hubs,5509,9924,71,1,0,0,0,0,0,0,0,0,0,-1,2,-1,-1,21,-1,-1,226.48,1344
sparkdesignsystem/spark-design-system,3895,9923,61,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,70.3,1755
getodk/central-frontend,977,1816,11,1,0,0,0,1,0,0,0,0,0,-1,5,-1,-1,-1,-1,-1,13.7,1341
BuildFire/placesPlugin2,397,506,25,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.69,1343
benetech/MathShare,1000,2039,20,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,27.67,1413
decred/politeiagui,601,1137,35,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,18.03,1354
getodk/central-backend,641,1257,18,1,1,0,0,0,0,0,0,0,0,-1,3,-1,-1,-1,-1,-1,6.24,1349
BrightID/BrightID,783,2643,31,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,68.35,1356
zebrunner/stf,2066,2255,54,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,117.19,2702
ChildMindInstitute/mindlogger-app,356,2124,37,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,96.66,1356
DeveloperCielo/developercielo.github.io,2324,4075,45,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,405.56,1357
react-static/react-static,1424,1588,240,1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,37.4,1361
mattermost/mattermost-webapp,4969,8507,503,1,0,1,0,0,0,0,0,0,0,-1,29,-1,-1,-1,-1,-1,482.53,1902
mdbootstrap/React-Bootstrap-with-Material-Design,146,194,27,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,11.55,1357
ging/fiware-idm,747,1059,39,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17.36,1362
wojtekmaj/react-date-picker,469,670,18,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,6.89,1364
rescapes/ramda,260,564,1,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.11,1365
wulkanowy/fake-log,195,297,11,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0.94,1367
social-media-testdrive/truman_testdrive,2348,3005,140,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,486.63,2756
AliceO2Group/WebUi,402,818,11,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,14.62,1370
alliance-genome/agr_ui,1923,3195,36,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,26.58,1548
jumpalottahigh/blog.georgi-yanev.com,376,802,3,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,257.78,1380
sencha/ext-angular,960,1473,23,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,201.81,1383
elifesciences/elife-xpub,2558,2901,39,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,23,-1,-1,15.75,1384
