repository,package,ghsa,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
CartoDB/CartoDB-SQL-API,acorn,GHSA-6chw-6frg-f759,6bd2460f561863f3e5be0d6d0b1817c6a575b018,,7.2.0,7.2.0,7.2.0,7.1.1,7.1.0,2020-06-01 10:54:01+02:00,2020-05-09T07:04:41.348Z,2020-05-09T07:04:41.348Z,2020-03-14T19:47:09Z,647,package-lock.json
CartoDB/CartoDB-SQL-API,acorn,GHSA-6chw-6frg-f759,6bd2460f561863f3e5be0d6d0b1817c6a575b018,,7.2.0,7.2.0,7.2.0,7.2.0,7.1.0,2020-06-01 10:54:01+02:00,2020-05-09T07:04:41.348Z,2020-05-09T07:04:41.348Z,2020-05-20T14:00:18Z,657,package-lock.json
CartoDB/Windshaft-cartodb,acorn,GHSA-6chw-6frg-f759,b79a8587fafdea3130b4c871472ba9de0648a418,,7.2.0,7.2.0,7.2.0,7.1.1,7.1.0,2020-06-01 12:35:31+02:00,2020-05-09T07:04:41.348Z,2020-05-09T07:04:41.348Z,2020-03-14T14:25:34Z,1157,package-lock.json
CartoDB/Windshaft-cartodb,acorn,GHSA-6chw-6frg-f759,b79a8587fafdea3130b4c871472ba9de0648a418,,7.2.0,7.2.0,7.2.0,7.2.0,7.1.0,2020-06-01 12:35:31+02:00,2020-05-09T07:04:41.348Z,2020-05-09T07:04:41.348Z,2020-05-20T13:58:25Z,1166,package-lock.json
CatalysmsServerManager/7-days-to-die-server-manager,acorn,GHSA-6chw-6frg-f759,12c84eac0450f8c1ff34e519d317a4c3279a08c4,,7.3.1,7.3.1,7.3.1,5.7.4,5.7.3,2020-07-14 20:40:23+00:00,2020-06-11T10:24:01.388Z,2020-06-11T10:24:01.388Z,2020-04-04T20:07:06Z,48,package-lock.json
ChildMindInstitute/mindlogger-app,lodash-es,GHSA-jf85-cpcp-j695,117e447ac1c7ac5943695acf8b12007383728bf4,^4.17.15,4.17.11,4.17.15,4.17.15,4.17.15,4.17.11,2019-08-26 09:56:55-04:00,2019-07-19T02:29:44.626Z,2019-07-19T02:29:44.626Z,2019-08-20T19:26:02Z,252,yarn.lock
ChilliCream/hotchocolate-docs,mixin-deep,GHSA-fhjf-83wg-r2j9,5153aa2ca019f28e4c0b1cafe57b7378f164c937,,,2.0.1,2.0.1,1.3.2,1.3.1,2019-09-17 22:25:05+02:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-09-17T19:54:18Z,45,
ChromeDevTools/debugger-protocol-viewer,lodash,GHSA-jf85-cpcp-j695,2398b1a577cdac0abc531d32da9cfb16e746f473,,4.17.15,4.17.15,4.17.15,4.17.15,4.17.11,2020-04-09 14:31:09-07:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2020-01-22T00:31:47Z,124,package-lock.json
ChromeDevTools/debugger-protocol-viewer,mixin-deep,GHSA-fhjf-83wg-r2j9,2398b1a577cdac0abc531d32da9cfb16e746f473,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2020-04-09 14:31:09-07:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2020-01-22T00:32:19Z,125,package-lock.json
ChromeDevTools/debugger-protocol-viewer,deep-extend,GHSA-hr2v-3952-633q,0e01cca52c098476f4a2ad5a49d23e17f060067a,,,0.6.0,0.6.0,0.6.0,0.4.2,2020-04-07 09:16:49-07:00,2018-05-22T18:13:17.476Z,2018-05-22T18:13:17.476Z,2020-04-07T10:47:11Z,132,package-lock.json
City-of-Helsinki/mvj-ui,handlebars,GHSA-w457-6q6x-cgp9,58a46c04b8793eb30decada60c040faaa67d9c91,,,4.7.3,4.7.3,4.5.3,4.1.2,2020-03-04 10:08:29+02:00,2020-02-05T05:11:05.763Z,2020-02-05T05:11:05.763Z,2019-12-28T05:56:34Z,292,yarn.lock
City-of-Helsinki/mvj-ui,codecov,GHSA-5q88-cjfq-g2mh,58a46c04b8793eb30decada60c040faaa67d9c91,^3.5.0,3.6.5,4.0.0-0,4.0.0-0,3.6.5,3.5.0,2020-03-04 10:08:29+02:00,2017-12-05T13:42:57.631Z,2017-12-05T13:42:57.631Z,2020-02-19T18:19:16Z,304,yarn.lock
City-of-Helsinki/mvj-ui,acorn,GHSA-6chw-6frg-f759,a3a411e9c6b0d341a3ee7d7ec36f51488ad1c26a,,6.4.1,7.2.0,7.2.0,6.4.1,6.1.1,2020-06-03 14:36:09+03:00,2020-05-09T07:04:41.348Z,2020-05-09T07:04:41.348Z,2020-03-14T10:17:00Z,305,yarn.lock
CityOfZion/neon-wallet,fstream,GHSA-xf7w-r453-m56c,d04bf7d76bc678d5acfeb7e36479d1713ad14f51,,1.0.11,1.0.12,1.0.12,1.0.12,1.0.11,2019-06-03 19:18:13-06:00,2019-05-15T00:38:18.821Z,2019-05-15T00:38:18.821Z,2019-06-04T01:21:57Z,1866,package-lock.json
CityOfZion/neon-wallet,lodash.mergewith,GHSA-jf85-cpcp-j695,7c7fd59574b8ae281660d56438049176572c9aaf,,4.6.2,4.6.2,4.6.2,4.6.2,4.6.1,2019-07-12 10:19:55-06:00,2019-07-10T00:20:07.639Z,2019-07-10T00:20:07.639Z,2019-07-12T16:12:31Z,1891,yarn.lock
CivicActions/civicactions.com,lodash,GHSA-jf85-cpcp-j695,5bdab8c14fac065816820899fc1d6c9d009f2eed,^4.17.10,4.17.15,4.17.15,4.17.15,4.17.13,4.17.11,2019-08-15 14:48:04-07:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-08-15T19:12:41Z,597,yarn.lock
CivicActions/civicactions.com,axios,GHSA-42xw-2xvc-qx8m,5bdab8c14fac065816820899fc1d6c9d009f2eed,^0.18.0,0.18.1,0.19.0,0.19.0,0.18.1,0.18.0,2019-08-15 14:48:04-07:00,2019-05-30T16:13:16.930Z,2019-05-30T16:13:16.930Z,2019-08-15T19:12:47Z,598,yarn.lock
CivicActions/civicactions.com,fstream,GHSA-xf7w-r453-m56c,5bdab8c14fac065816820899fc1d6c9d009f2eed,,1.0.12,1.0.12,1.0.12,1.0.12,1.0.11,2019-08-15 14:48:04-07:00,2019-05-15T00:38:18.821Z,2019-05-15T00:38:18.821Z,2019-08-15T19:12:48Z,599,yarn.lock
CivicActions/civicactions.com,lodash.mergewith,GHSA-jf85-cpcp-j695,5bdab8c14fac065816820899fc1d6c9d009f2eed,,4.6.2,4.6.2,4.6.2,4.6.2,4.6.1,2019-08-15 14:48:04-07:00,2019-07-10T00:20:07.639Z,2019-07-10T00:20:07.639Z,2019-08-15T19:12:51Z,600,yarn.lock
CivicActions/civicactions.com,handlebars,GHSA-q42p-pg8m-cqh6,5bdab8c14fac065816820899fc1d6c9d009f2eed,,4.1.2,4.1.2,4.1.2,4.1.2,4.0.12,2019-08-15 14:48:04-07:00,2019-04-13T14:20:03.504Z,2019-04-13T14:20:03.504Z,2019-08-15T19:12:51Z,601,yarn.lock
CivicActions/civicactions.com,handlebars,GHSA-q42p-pg8m-cqh6,5bdab8c14fac065816820899fc1d6c9d009f2eed,,4.1.2,4.1.2,4.1.2,4.5.3,4.1.2,2019-08-15 14:48:04-07:00,2019-04-13T14:20:03.504Z,2019-04-13T14:20:03.504Z,2019-12-28T05:18:20Z,652,yarn.lock
CivicActions/civicactions.com,webpack-dev-server,GHSA-cf66-xwfp-gvc4,5bdab8c14fac065816820899fc1d6c9d009f2eed,,3.8.0,3.8.0,3.8.0,3.8.0,3.1.10,2019-08-15 14:48:04-07:00,2019-08-09T17:12:17.117Z,2019-08-09T17:12:17.117Z,2019-08-15T19:12:57Z,602,yarn.lock
CivicActions/civicactions.com,handlebars,GHSA-w457-6q6x-cgp9,ab5e14a7fd972c4cadec041321cbcaf3ea3ceff1,,,4.7.6,4.7.6,4.1.2,4.0.12,2020-06-10 15:01:20-05:00,2020-04-03T17:59:55.566Z,2020-04-03T17:59:55.566Z,2019-08-15T19:12:51Z,601,yarn.lock
CivicActions/civicactions.com,handlebars,GHSA-w457-6q6x-cgp9,ab5e14a7fd972c4cadec041321cbcaf3ea3ceff1,,,4.7.6,4.7.6,4.5.3,4.1.2,2020-06-10 15:01:20-05:00,2020-04-03T17:59:55.566Z,2020-04-03T17:59:55.566Z,2019-12-28T05:18:20Z,652,yarn.lock
CodyJasonBennett/portfolio,lodash.template,GHSA-jf85-cpcp-j695,dfdccec1bc854e5337b6d4326f0572332d78a52f,,4.5.0,4.5.0,4.5.0,4.5.0,4.4.0,2019-10-27 01:04:12-05:00,2019-07-10T05:08:24.821Z,2019-07-10T05:08:24.821Z,2019-07-11T12:02:40Z,6,yarn.lock
CodyJasonBennett/portfolio,lodash,GHSA-jf85-cpcp-j695,dfdccec1bc854e5337b6d4326f0572332d78a52f,,4.17.15,4.17.15,4.17.15,4.17.14,4.17.11,2019-10-27 01:04:12-05:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-07-13T08:14:42Z,7,yarn.lock
CodyJasonBennett/portfolio,eslint-utils,GHSA-3gx7-xhv7-5mx3,9719c70e3c4a29c7d3d7811403c1c8a4d52397cb,,1.4.2,1.4.2,1.4.2,1.4.2,1.3.1,2019-10-06 07:32:05-05:00,2019-08-20T10:29:58.372Z,2019-08-20T10:29:58.372Z,2019-08-26T23:42:18Z,8,yarn.lock
CodyJasonBennett/portfolio,eslint-utils,GHSA-3gx7-xhv7-5mx3,9719c70e3c4a29c7d3d7811403c1c8a4d52397cb,,1.4.2,1.4.2,1.4.2,1.4.2,1.3.1,2019-10-06 07:32:05-05:00,2019-08-20T10:29:58.372Z,2019-08-20T10:29:58.372Z,2019-08-27T00:28:55Z,9,yarn.lock
CodyJasonBennett/portfolio,eslint-utils,GHSA-3gx7-xhv7-5mx3,dfdccec1bc854e5337b6d4326f0572332d78a52f,,1.4.2,1.4.3,1.4.3,1.4.2,1.3.1,2019-10-27 01:04:12-05:00,2019-10-20T12:52:13.144Z,2019-10-20T12:52:13.144Z,2019-08-26T23:42:18Z,8,yarn.lock
CodyJasonBennett/portfolio,eslint-utils,GHSA-3gx7-xhv7-5mx3,dfdccec1bc854e5337b6d4326f0572332d78a52f,,1.4.2,1.4.3,1.4.3,1.4.2,1.3.1,2019-10-27 01:04:12-05:00,2019-10-20T12:52:13.144Z,2019-10-20T12:52:13.144Z,2019-08-27T00:28:55Z,9,yarn.lock
ComPlat/chemotion_ELN,lodash-es,GHSA-jf85-cpcp-j695,2eaf29b8b29221aa6809b731fd72d829ad76a919,,4.17.15,4.17.15,4.17.15,4.17.15,4.17.11,2019-12-17 12:31:28+01:00,2019-07-19T02:29:44.626Z,2019-07-19T02:29:44.626Z,2019-11-12T09:19:21Z,357,package-lock.json
CruGlobal/give-web,deap,GHSA-xrmp-99wj-p6jc,f0a2031212fec5cb26b36e3659a6eac224b559e8,,1.0.1,1.0.1,1.0.1,1.0.1,1.0.0,2019-09-24 10:14:14-04:00,2018-03-05T16:02:27.330Z,2018-03-05T16:02:27.330Z,2019-10-29T18:05:30Z,818,yarn.lock
CyberCRI/learn-ext,lodash-es,GHSA-jf85-cpcp-j695,7103a2ce7ea5c4017d5b93cbf7fd4c4b93e22651,,,4.17.15,4.17.15,4.17.15,4.17.11,2019-09-24 15:41:27+02:00,2019-07-19T02:29:44.626Z,2019-07-19T02:29:44.626Z,2019-09-08T17:25:00Z,38,yarn.lock
