ghsa_id,type,severity,published_at,github_reviewed_at,cvss_score,package,vulnerable_version_range,first_patched_version
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linux-x64,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linuxstatic-arm64,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/macos-arm64,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/macos-x64,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/win-x64,">= 8.0.0, < 8.6.8",8.6.8
GHSA-vxjg-hchx-cc4g,reviewed,medium,2023-08-01 16:59:04,2023-08-01 16:59:04,6.50,@simonsmith/cypress-image-snapshot,<= 8.0.1,8.0.2
GHSA-gpvc-mx6g-cchv,reviewed,high,2023-08-01 06:30:02,2023-08-01 19:47:01,7.50,underscore-keypath,">= 0.0.11, <= 0.9.3",
GHSA-8www-cffh-4q98,reviewed,critical,2023-07-28 15:33:01,2023-07-28 15:33:01,9.60,umami,< 2.3.1,2.3.1
GHSA-wxf3-4fvj-vqqx,reviewed,high,2023-07-27 19:28:00,2023-07-27 19:28:00,8.70,@saltcorn/cli,< 1.0,1.0
GHSA-gpw9-fwm8-7rx7,reviewed,high,2023-07-27 17:13:01,2023-07-27 17:13:01,7.50,sails,< 1.5.7,1.5.7
GHSA-gggm-66rh-pp98,reviewed,medium,2023-07-25 23:31:01,2023-07-25 23:31:01,5.70,directus,">= 10.3, < 10.5.0",10.5.0
GHSA-4qcv-qf38-5j3j,reviewed,medium,2023-07-25 18:04:03,2023-07-25 18:04:03,4.70,nodebb,">= 3.0.0, < 3.1.3",3.1.3
GHSA-4qcv-qf38-5j3j,reviewed,medium,2023-07-25 18:04:03,2023-07-25 18:04:03,4.70,nodebb,< 2.8.13,2.8.13
GHSA-9xg4-3qfm-9w8f,reviewed,high,2023-07-25 17:17:04,2023-07-25 17:17:04,8.60,@strapi/database,<= 4.10.7,4.10.8
GHSA-9xg4-3qfm-9w8f,reviewed,high,2023-07-25 17:17:04,2023-07-25 17:17:04,8.60,@strapi/utils,<= 4.10.7,4.10.8
GHSA-chmr-rg2f-9jmf,reviewed,medium,2023-07-25 17:17:01,2023-07-25 17:17:01,4.80,@strapi/strapi,< 4.10.8,4.10.8
GHSA-chmr-rg2f-9jmf,reviewed,medium,2023-07-25 17:17:01,2023-07-25 17:17:01,4.80,@strapi/utils,< 4.10.8,4.10.8
GHSA-chmr-rg2f-9jmf,reviewed,medium,2023-07-25 17:17:01,2023-07-25 17:17:01,4.80,@strapi/database,< 4.10.8,4.10.8
GHSA-vh2g-6c4x-5hmp,reviewed,critical,2023-07-25 13:54:01,2023-07-25 13:54:01,10.00,nodebb,">= 2.5.0, < 2.8.7",2.8.7
GHSA-hhr9-rh25-hvf9,reviewed,high,2023-07-20 14:54:03,2023-07-20 14:54:03,7.50,@feathersjs/socketio,<= 4.5.17,4.5.18
GHSA-hhr9-rh25-hvf9,reviewed,high,2023-07-20 14:54:03,2023-07-20 14:54:03,7.50,@feathersjs/socketio,">= 5.0.0, <= 5.0.7",5.0.8
GHSA-hhr9-rh25-hvf9,reviewed,high,2023-07-20 14:54:03,2023-07-20 14:54:03,7.50,@feathersjs/transport-commons,<= 4.5.17,4.5.18
