,repository,package,fix_commit,lock_file_fix_version,latest_stable_version,pr_version,pr_number,pr_date,fix_date,pr_fix_diff,inspired
13,AdguardTeam/FiltersRegistry,lodash,a6c49b242f436cb9d81d2bdee9b71e665b18de33,4.17.20,4.17.20,4.17.14,206,2019-07-11T16:19:45Z,2020-10-13 15:10:44+03:00,"459,19",False
14,AdguardTeam/Scriptlets,js-yaml,1fc5737d06bd6629484cd3d7ee58084fb0a9abae,3.12.1,3.13.1,3.13.1,27,2019-06-06T05:15:54Z,2019-06-06 13:10:03+03:00,"0,4",False
15,AdguardTeam/Scriptlets,lodash,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,4.17.15,4.17.15,4.17.14,33,2019-07-13T02:07:33Z,2019-11-22 16:24:48+03:00,"132,11",False
16,AdguardTeam/Scriptlets,eslint-utils,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,1.4.3,1.4.3,1.4.2,40,2019-08-26T21:59:58Z,2019-11-22 16:24:48+03:00,"87,15",False
17,AdguardTeam/Scriptlets,mixin-deep,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,1.3.2,2.0.1,1.3.2,41,2019-08-29T19:31:40Z,2019-11-22 16:24:48+03:00,"84,17",True
18,AdguardTeam/Scriptlets,acorn,e3429b0f42f23bee6733e5ce5f88a65643e97576,7.1.1,7.1.1,7.1.1,72,2020-03-13T23:18:42Z,2020-04-20 14:40:39+03:00,"37,12",False
19,Amsterdam/signals-frontend,eslint,a75999c32f45358a75db5c807f5d5e12e31cf571,6.5.1,6.5.1,4.18.2,302,2019-08-30T14:04:59Z,2019-10-18 09:54:56+02:00,"48,17",False
20,Amsterdam/signals-frontend,minimist,0519f5c608ab9e8722eb6f7cd041c98a0008ac9b,1.2.5,1.2.5,1.2.2,681,2020-03-17T04:32:45Z,2020-03-18 07:46:03+01:00,"1,2",False
21,ArcBlock/forge-js,lodash,37f24893cbaf515e2e0b03fa545c7141bac31eb6,4.17.15,4.17.15,4.17.15,338,2019-07-20T13:47:04Z,2019-08-09 06:24:40+08:00,"19,8",False
22,ArcBlock/forge-js,lodash,37f24893cbaf515e2e0b03fa545c7141bac31eb6,4.17.15,4.17.15,4.17.13,339,2019-07-22T02:02:39Z,2019-08-09 06:24:40+08:00,"17,20",False
23,ArcBlock/forge-js,js-yaml,37f24893cbaf515e2e0b03fa545c7141bac31eb6,3.13.1,3.13.1,3.13.1,344,2019-08-08T22:12:54Z,2019-08-09 06:24:40+08:00,"0,0",False
24,AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,2.2.4,5.0.0,2.2.4,68,2020-04-16T17:53:36Z,2020-10-11 17:47:59-04:00,"178,3",True
25,AssemblyScript/binaryen.js,minimist,a03afebacbf630137c7f800e61862d98833f9515,1.2.5,1.2.5,1.2.5,24,2020-03-13T22:01:22Z,2020-03-13 23:30:06+01:00,"0,0",False
26,Backendless/Console-SDK,lodash,578e1ccf09dba6cee56a9c3539bd1e4ea6cf3600,4.17.15,4.17.15,4.17.13,72,2019-10-28T15:34:50Z,2020-03-04 10:59:55+02:00,"127,17",False
27,Backendless/Console-SDK,mixin-deep,82b86163be7fea75689999345be1453e33d43396,1.3.2,2.0.1,1.3.2,73,2019-10-28T15:34:52Z,2019-10-28 16:38:30+01:00,"0,0",True
28,Backendless/Console-SDK,js-yaml,82b86163be7fea75689999345be1453e33d43396,3.13.1,3.13.1,3.13.1,74,2019-10-28T15:34:53Z,2019-10-28 16:38:30+01:00,"0,0",False
29,BoostIO/Boostnote,eslint,27e403108cab69689bc160b8e9b38b7e865cf955,4.19.1,6.8.0,4.18.2,3325,2019-10-29T04:30:13Z,2020-02-05 09:46:18+13:00,"98,16",False
30,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,1.3.1,2.0.1,1.3.2,295,2019-11-02T21:27:53Z,2020-05-06 11:17:31+08:00,"185,5",False
31,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,1.3.1,2.0.1,1.3.2,297,2019-11-14T10:08:10Z,2020-05-06 11:17:31+08:00,"173,17",False
32,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,1.3.1,2.0.1,1.3.2,298,2019-11-14T10:08:11Z,2020-05-06 11:17:31+08:00,"173,17",False
33,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,1.3.1,2.0.1,1.3.2,299,2019-11-14T10:08:27Z,2020-05-06 11:17:31+08:00,"173,17",False
34,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,1.3.1,2.0.1,1.3.2,295,2019-11-02T21:27:53Z,2020-01-27 13:30:28+07:00,"85,9",False
35,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,1.3.1,2.0.1,1.3.2,297,2019-11-14T10:08:10Z,2020-01-27 13:30:28+07:00,"73,20",False
36,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,1.3.1,2.0.1,1.3.2,298,2019-11-14T10:08:11Z,2020-01-27 13:30:28+07:00,"73,20",False
37,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,1.3.1,2.0.1,1.3.2,299,2019-11-14T10:08:27Z,2020-01-27 13:30:28+07:00,"73,20",False
38,BryanAdamss/vue-awesome-template,webpack-bundle-analyzer,662e5fc5d33fcdf0f579fecf84ae19c0f89509a1,3.8.0,3.8.0,3.3.2,1,2019-11-02T18:15:34Z,2020-06-23 20:06:37+08:00,"233,17",False
39,BryanAdamss/vue-awesome-template,webpack-dev-server,662e5fc5d33fcdf0f579fecf84ae19c0f89509a1,3.11.0,3.11.0,3.1.11,3,2019-11-28T10:28:13Z,2020-06-23 20:06:37+08:00,"208,1",False
40,C0deboy/jaki-jezyk-programowania,eslint-utils,97a0e213a54b51b8ff2930b80635d3504a68c48b,1.4.3,2.0.0,1.4.3,5,2019-11-02T21:49:53Z,2020-03-03 17:27:44+01:00,"121,18",True
41,C0deboy/jaki-jezyk-programowania,npm,97a0e213a54b51b8ff2930b80635d3504a68c48b,6.14.1,6.14.1,6.13.4,6,2019-12-13T19:05:01Z,2020-03-03 17:27:44+01:00,"80,21",False
42,C0deboy/jaki-jezyk-programowania,acorn,b7c6bd01d071c88bd74753abdafc4db9eb106637,7.3.1,7.3.1,6.4.1,7,2020-03-13T21:00:04Z,2020-08-02 10:58:49+02:00,"141,11",False
43,C0deboy/jaki-jezyk-programowania,jquery,b7c6bd01d071c88bd74753abdafc4db9eb106637,3.5.1,3.5.1,3.5.0,8,2020-04-29T22:58:31Z,2020-08-02 10:58:49+02:00,"94,10",False
44,CANDY-LINE/candy-red,lodash.merge,81678271cb2a15388f690959698a2c19baabd44a,4.6.2,4.6.2,4.6.2,43,2019-11-14T09:14:48Z,2019-11-27 16:00:06+09:00,"12,21",False
45,CANDY-LINE/candy-red,extend,19605e6bb4ca021a893ab38959330a39d8975a86,3.0.2,3.0.2,3.0.2,44,2019-11-14T09:14:49Z,2019-11-14 18:38:39+09:00,"0,0",False
46,CANDY-LINE/candy-red,mixin-deep,81678271cb2a15388f690959698a2c19baabd44a,1.3.2,2.0.1,1.3.2,45,2019-11-14T09:14:50Z,2019-11-27 16:00:06+09:00,"12,21",True
47,CANDY-LINE/candy-red,handlebars,fee7597dd2b72f39741de7bd2832c2381e3a4573,4.0.14,4.5.2,4.0.14,46,2019-11-14T09:14:52Z,2019-11-14 20:06:31+09:00,"0,1",True
48,CalderaWP/Caldera-Forms,handlebars,73c49d3838cdd61f6af64ec941673526887da94d,4.5.3,4.6.0,4.5.3,3433,2019-12-27T16:18:44Z,2020-01-09 10:16:42-05:00,"12,22",True
49,CalderaWP/Caldera-Forms,acorn,d40c31ce99c7253dcbb060b229ebfec905963f21,5.7.4,7.3.1,5.7.4,3516,2020-03-15T00:21:20Z,2020-06-11 13:43:39+02:00,"88,11",True
50,Caltech-IPAC/firefly,lodash,0a339dd8cb82f497f43ebb8c1b785b3233ede541,3.10.1,4.17.15,4.17.13,890,2019-10-16T22:33:00Z,2020-02-04 15:54:49-08:00,"111,1",False
51,Caltech-IPAC/firefly,lodash.mergewith,0a339dd8cb82f497f43ebb8c1b785b3233ede541,4.6.2,4.6.2,4.6.2,891,2019-10-16T22:33:01Z,2020-02-04 15:54:49-08:00,"111,1",False
52,Caltech-IPAC/firefly,lodash-es,0a339dd8cb82f497f43ebb8c1b785b3233ede541,4.17.15,4.17.15,4.17.15,892,2019-10-16T22:33:03Z,2020-02-04 15:54:49-08:00,"111,1",False
53,Caltech-IPAC/firefly,mixin-deep,0a339dd8cb82f497f43ebb8c1b785b3233ede541,1.3.2,2.0.1,1.3.2,893,2019-10-16T22:33:04Z,2020-02-04 15:54:49-08:00,"111,1",True
54,Caltech-IPAC/firefly,eslint-utils,0a339dd8cb82f497f43ebb8c1b785b3233ede541,1.4.3,2.0.0,1.4.2,895,2019-10-16T22:33:08Z,2020-02-04 15:54:49-08:00,"111,1",False
55,CarPalFleet/JavaScript-SDK,lodash,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,4.17.15,4.17.15,4.17.15,295,2019-11-05T07:17:29Z,2020-02-10 15:43:20+08:00,"97,0",False
56,CarPalFleet/JavaScript-SDK,mixin-deep,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,1.3.2,2.0.1,1.3.2,296,2019-11-05T07:17:29Z,2020-02-10 15:43:20+08:00,"97,0",True
57,CarPalFleet/JavaScript-SDK,handlebars,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,4.7.3,4.7.3,4.5.3,312,2019-12-26T18:54:09Z,2020-02-10 15:43:20+08:00,"45,12",False
58,CartoDB/CartoDB-SQL-API,acorn,6bd2460f561863f3e5be0d6d0b1817c6a575b018,7.2.0,7.2.0,7.1.1,647,2020-03-14T19:47:09Z,2020-06-01 10:54:01+02:00,"78,13",False
59,CartoDB/CartoDB-SQL-API,acorn,6bd2460f561863f3e5be0d6d0b1817c6a575b018,7.2.0,7.2.0,7.2.0,657,2020-05-20T14:00:18Z,2020-06-01 10:54:01+02:00,"11,18",False
60,CartoDB/Windshaft-cartodb,acorn,b79a8587fafdea3130b4c871472ba9de0648a418,7.2.0,7.2.0,7.1.1,1157,2020-03-14T14:25:34Z,2020-06-01 12:35:31+02:00,"78,20",False
61,CartoDB/Windshaft-cartodb,acorn,b79a8587fafdea3130b4c871472ba9de0648a418,7.2.0,7.2.0,7.2.0,1166,2020-05-20T13:58:25Z,2020-06-01 12:35:31+02:00,"11,20",False
62,CatalysmsServerManager/7-days-to-die-server-manager,acorn,12c84eac0450f8c1ff34e519d317a4c3279a08c4,7.3.1,7.3.1,5.7.4,48,2020-04-04T20:07:06Z,2020-07-14 20:40:23+00:00,"101,0",False
63,ChildMindInstitute/mindlogger-app,lodash-es,117e447ac1c7ac5943695acf8b12007383728bf4,4.17.11,4.17.15,4.17.15,252,2019-08-20T19:26:02Z,2019-08-26 09:56:55-04:00,"5,18",False
64,ChromeDevTools/debugger-protocol-viewer,lodash,2398b1a577cdac0abc531d32da9cfb16e746f473,4.17.15,4.17.15,4.17.15,124,2020-01-22T00:31:47Z,2020-04-09 14:31:09-07:00,"78,20",False
65,ChromeDevTools/debugger-protocol-viewer,mixin-deep,2398b1a577cdac0abc531d32da9cfb16e746f473,1.3.2,2.0.1,1.3.2,125,2020-01-22T00:32:19Z,2020-04-09 14:31:09-07:00,"78,20",True
66,City-of-Helsinki/mvj-ui,codecov,58a46c04b8793eb30decada60c040faaa67d9c91,3.6.5,4.0.0-0,3.6.5,304,2020-02-19T18:19:16Z,2020-03-04 10:08:29+02:00,"13,13",True
67,City-of-Helsinki/mvj-ui,acorn,a3a411e9c6b0d341a3ee7d7ec36f51488ad1c26a,6.4.1,7.2.0,6.4.1,305,2020-03-14T10:17:00Z,2020-06-03 14:36:09+03:00,"81,1",True
68,CityOfZion/neon-wallet,lodash.mergewith,7c7fd59574b8ae281660d56438049176572c9aaf,4.6.2,4.6.2,4.6.2,1891,2019-07-12T16:12:31Z,2019-07-12 10:19:55-06:00,"0,0",False
69,CivicActions/civicactions.com,lodash,5bdab8c14fac065816820899fc1d6c9d009f2eed,4.17.15,4.17.15,4.17.13,597,2019-08-15T19:12:41Z,2019-08-15 14:48:04-07:00,"0,2",False
70,CivicActions/civicactions.com,axios,5bdab8c14fac065816820899fc1d6c9d009f2eed,0.18.1,0.19.0,0.18.1,598,2019-08-15T19:12:47Z,2019-08-15 14:48:04-07:00,"0,2",True
71,CivicActions/civicactions.com,fstream,5bdab8c14fac065816820899fc1d6c9d009f2eed,1.0.12,1.0.12,1.0.12,599,2019-08-15T19:12:48Z,2019-08-15 14:48:04-07:00,"0,2",False
72,CivicActions/civicactions.com,lodash.mergewith,5bdab8c14fac065816820899fc1d6c9d009f2eed,4.6.2,4.6.2,4.6.2,600,2019-08-15T19:12:51Z,2019-08-15 14:48:04-07:00,"0,2",False
73,CivicActions/civicactions.com,handlebars,5bdab8c14fac065816820899fc1d6c9d009f2eed,4.1.2,4.1.2,4.1.2,601,2019-08-15T19:12:51Z,2019-08-15 14:48:04-07:00,"0,2",False
74,CivicActions/civicactions.com,webpack-dev-server,5bdab8c14fac065816820899fc1d6c9d009f2eed,3.8.0,3.8.0,3.8.0,602,2019-08-15T19:12:57Z,2019-08-15 14:48:04-07:00,"0,2",False
75,CodyJasonBennett/portfolio,lodash.template,dfdccec1bc854e5337b6d4326f0572332d78a52f,4.5.0,4.5.0,4.5.0,6,2019-07-11T12:02:40Z,2019-10-27 01:04:12-05:00,"107,18",False
76,CodyJasonBennett/portfolio,lodash,dfdccec1bc854e5337b6d4326f0572332d78a52f,4.17.15,4.17.15,4.17.14,7,2019-07-13T08:14:42Z,2019-10-27 01:04:12-05:00,"105,21",False
77,CodyJasonBennett/portfolio,eslint-utils,9719c70e3c4a29c7d3d7811403c1c8a4d52397cb,1.4.2,1.4.2,1.4.2,8,2019-08-26T23:42:18Z,2019-10-06 07:32:05-05:00,"40,12",False
78,CodyJasonBennett/portfolio,eslint-utils,9719c70e3c4a29c7d3d7811403c1c8a4d52397cb,1.4.2,1.4.2,1.4.2,9,2019-08-27T00:28:55Z,2019-10-06 07:32:05-05:00,"40,12",False
79,CodyJasonBennett/portfolio,eslint-utils,dfdccec1bc854e5337b6d4326f0572332d78a52f,1.4.2,1.4.3,1.4.2,8,2019-08-26T23:42:18Z,2019-10-27 01:04:12-05:00,"61,6",True
80,CodyJasonBennett/portfolio,eslint-utils,dfdccec1bc854e5337b6d4326f0572332d78a52f,1.4.2,1.4.3,1.4.2,9,2019-08-27T00:28:55Z,2019-10-27 01:04:12-05:00,"61,5",True
81,ComPlat/chemotion_ELN,lodash-es,2eaf29b8b29221aa6809b731fd72d829ad76a919,4.17.15,4.17.15,4.17.15,357,2019-11-12T09:19:21Z,2019-12-17 12:31:28+01:00,"35,2",False
82,DBCDK/content-first,knex,3365dd3534d88b86cde39096f932ecf115002d38,0.20.8,0.20.8,0.19.5,1180,2019-10-21T16:44:01Z,2020-01-21 10:29:42+01:00,"91,16",False
83,DanmarksAdresser/Dawa,lodash,8dd4dbee7288f8aa120105887b279f352aa512de,4.17.20,4.17.20,4.17.15,825,2019-11-20T11:49:23Z,2021-01-07 09:34:22+01:00,"413,20",False
84,DanmarksAdresser/Dawa,handlebars,58b5b116f5e834fab304548007d4e6f1bbfa32b6,4.7.3,4.7.3,4.5.3,834,2019-12-28T01:05:30Z,2020-02-12 11:49:11+01:00,"46,9",False
85,DanmarksAdresser/Dawa,jquery,77d46bf9ad6a9d6bfd3660d77a611e18111605dd,3.5.0,3.5.0,3.5.0,861,2020-04-30T01:40:26Z,2020-05-01 09:55:22+02:00,"1,6",False
86,DataBiosphere/terra-ui,acorn,da2bdbffb53efc14c98c07fe1312ef2fe250917d,5.7.4,7.1.1,6.4.1,2076,2020-03-14T21:17:30Z,2020-03-16 15:47:21-04:00,"1,22",False
87,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,4.43.0,6.0.0,5.15.1,808,2019-11-06T17:18:08Z,2020-05-13 16:57:10-04:00,"189,3",False
88,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,4.43.0,6.0.0,4.44.3,809,2019-11-06T17:53:43Z,2020-05-13 16:57:10-04:00,"189,3",False
89,DemonCloud/cubec,minimist,0a49066a62121c310280341365072ca9b5db0216,1.2.5,1.2.5,1.2.5,1,2020-03-16T15:02:09Z,2020-03-21 13:27:46+08:00,"4,14",False
90,EDM-Spot/OtterBot,mixin-deep,6a2f4b9ea89b7cf9e7be211f04e29ec3e063327d,1.3.2,2.0.1,1.3.2,21,2019-11-03T16:56:47Z,2020-07-08 00:07:47+01:00,"247,6",True
91,EDM-Spot/OtterBot,fstream,a8c50127fb3c7c9b9549b88ebaf22e80e8f01e05,1.0.12,1.0.12,1.0.12,22,2019-11-03T16:56:52Z,2020-01-11 22:54:26+00:00,"69,5",False
92,EdgeApp/edge-core-js,acorn,28e5a80275c8080f66e5bd1abe19d52351b33684,6.4.1,7.1.1,6.4.1,282,2020-03-13T23:06:55Z,2020-04-02 10:39:20-07:00,"19,18",True
93,EdgeApp/edge-currency-accountbased,handlebars,a57c2d025bf4950573f9217db5be3b5f42f3654d,4.5.3,4.5.3,4.5.3,110,2019-12-28T07:50:45Z,2019-12-31 13:33:52-08:00,"3,13",False
94,EdgeApp/edge-currency-accountbased,acorn,f5a0a124735f783aa6bba5dd3cedc9e1c64d066d,6.4.1,7.1.1,6.4.1,125,2020-03-13T23:31:12Z,2020-04-06 12:30:13-07:00,"23,19",True
95,ErikVerheul/OneBacklog,acorn,d8ede7c8c45d8a2fc23e738222d8e0e7c8989c76,6.4.1,7.1.1,6.4.1,1,2020-03-13T21:20:26Z,2020-04-09 18:39:55+02:00,"26,19",True
96,ErikVerheul/OneBacklog,jquery,37919f166bccf13683924228c37365167a9d625c,3.5.1,3.5.1,3.5.0,2,2020-04-30T01:23:26Z,2020-05-07 11:03:01+02:00,"7,7",False
97,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,js-yaml,03db69c1839670b68372163eedc4019a81f49521,3.13.1,3.13.1,3.13.1,23,2019-11-05T22:03:32Z,2020-01-27 10:40:10-08:00,"82,20",False
98,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,handlebars,03db69c1839670b68372163eedc4019a81f49521,4.7.2,4.7.2,4.5.1,24,2019-11-05T22:03:55Z,2020-01-27 10:40:10-08:00,"82,20",False
99,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,handlebars,03db69c1839670b68372163eedc4019a81f49521,4.7.2,4.7.2,4.5.3,28,2019-12-27T04:02:48Z,2020-01-27 10:40:10-08:00,"31,14",False
100,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,mixin-deep,85e3cfc0d79a7532e94df870eac14fc8c832026b,1.3.2,2.0.1,1.3.2,25,2019-11-05T22:03:57Z,2020-02-18 12:19:25-08:00,"104,22",True
101,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,lodash,85e3cfc0d79a7532e94df870eac14fc8c832026b,4.17.15,4.17.15,4.17.13,26,2019-11-05T22:04:00Z,2020-02-18 12:19:25-08:00,"104,22",False
102,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,brace-expansion,85e3cfc0d79a7532e94df870eac14fc8c832026b,1.1.11,1.1.11,1.1.11,27,2019-11-05T22:04:05Z,2020-02-18 12:19:25-08:00,"104,22",False
103,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,acorn,491d18de19b13c598586492c1df4b38828bd14cd,7.4.1,8.0.4,6.4.1,30,2020-03-13T21:40:32Z,2020-12-01 08:14:13-08:00,"262,18",False
104,F5Networks/f5-cloud-libs,brace-expansion,ed8a6a34ae5780a5830af77076685d7aca62dfbf,1.1.11,1.1.11,1.1.11,14,2019-12-04T20:30:36Z,2020-05-04 14:27:32-07:00,"152,0",False
105,F5Networks/f5-cloud-libs,js-yaml,ed8a6a34ae5780a5830af77076685d7aca62dfbf,3.13.1,3.13.1,3.13.1,15,2019-12-04T20:30:36Z,2020-05-04 14:27:32-07:00,"152,0",False
106,F5Networks/f5-cloud-libs,lodash,3503225bf2d897eb5cbe23fdd52274e22630df7d,4.17.20,4.17.20,4.17.15,16,2019-12-04T20:30:36Z,2020-09-28 15:38:46-07:00,"299,2",False
107,Faithlife/styled-ui,esm,feaa2131daeb8220b7c7eedb15c74fbd91356c5d,3.2.25,3.2.25,3.1.0,271,2019-10-28T21:44:03Z,2020-03-04 14:33:36-08:00,"128,0",False
108,Faithlife/styled-ui,mixin-deep,feaa2131daeb8220b7c7eedb15c74fbd91356c5d,1.3.2,2.0.1,1.3.2,274,2019-10-28T21:44:12Z,2020-03-04 14:33:36-08:00,"128,0",True
109,FelixHenninger/lab.js,serialize-javascript,8348a2f0fca78ff7fc2744928c8fb058522a49b3,1.9.1,3.0.0,2.1.1,69,2019-12-06T14:33:03Z,2020-02-26 01:26:50+01:00,"81,9",False
110,FelixHenninger/lab.js,serialize-javascript,8348a2f0fca78ff7fc2744928c8fb058522a49b3,1.9.1,3.0.0,2.1.1,70,2019-12-08T23:11:39Z,2020-02-26 01:26:50+01:00,"79,1",False
111,ForestAdmin/lumber,minimist,8441e335e071ceac391f5421233eb64c37fd7361,1.2.5,1.2.5,1.2.2,404,2020-03-17T14:59:34Z,2020-05-11 19:08:18+02:00,"55,2",False
112,FrankerFaceZ/FrankerFaceZ,acorn,7638a885f2bb46310645b755227a0aaa19963aff,7.3.1,7.3.1,6.4.1,767,2020-03-13T21:04:12Z,2020-07-10 20:08:29-04:00,"119,3",False
113,FreeFeed/freefeed-server,acorn,9a6fc1d55dfdbf02b213156dcf3c6684a749b6b6,7.1.1,7.1.1,5.7.4,420,2020-03-13T22:37:49Z,2020-04-02 23:36:17+03:00,"19,21",False
114,Frontify/sketch,acorn,699a169adea90063f19b9c4aec119b9935841484,6.4.1,7.3.1,6.4.1,7,2020-03-13T21:46:08Z,2020-06-22 16:23:52+02:00,"100,16",True
115,FundacionParaguaya/stoplight-web,handlebars,bfebfd65d97d14eb154d3783f747097807f2158c,4.7.3,4.7.3,4.5.3,795,2019-12-28T10:26:38Z,2020-02-05 14:39:52-03:00,"39,7",False
116,GMOD/jbrowse,lodash.merge,0b21029a295b79f03fcd8a2852a6f20381f230a8,4.6.2,4.6.2,4.6.2,1402,2019-07-10T23:56:23Z,2019-07-11 21:10:18-04:00,"1,1",False
117,GMOD/jbrowse,dojox,6945723678bb1b3c823bd975ac9330620463ba76,1.16.2,1.16.2,1.16.1,1468,2020-02-13T22:21:45Z,2020-03-18 23:11:33-04:00,"34,4",False
118,GMOD/jbrowse,dojox,6945723678bb1b3c823bd975ac9330620463ba76,1.16.2,1.16.2,1.16.2,1481,2020-03-10T18:06:20Z,2020-03-18 23:11:33-04:00,"8,9",False
119,GMOD/jbrowse,yarn,6945723678bb1b3c823bd975ac9330620463ba76,1.22.4,1.22.4,1.22.0,1470,2020-02-14T23:40:19Z,2020-03-18 23:11:33-04:00,"33,3",False
120,GMOD/jbrowse,dojo,6945723678bb1b3c823bd975ac9330620463ba76,1.16.2,1.16.2,1.16.2,1482,2020-03-10T18:06:21Z,2020-03-18 23:11:33-04:00,"8,9",False
121,GetStream/stream-chat-react,js-yaml,dea6cf53f0aa69ad10f1ec9fda664ac912377c00,3.13.1,3.13.1,3.13.1,9,2019-06-06T05:49:12Z,2019-07-04 12:04:41+02:00,"28,4",False
122,GetStream/stream-chat-react,lodash,9230f27cefc2b1cece87e8880aa7ef40c021e5fb,4.17.14,4.17.14,4.17.14,28,2019-07-13T03:16:51Z,2019-07-15 14:55:27+02:00,"2,9",False
123,GetStream/stream-chat-react,eslint-utils,b654345cacf1d6213479e53a0e35245f0fbd3b0f,1.4.2,1.4.2,1.4.2,46,2019-08-26T22:19:05Z,2019-09-27 17:03:40+02:00,"31,16",False
124,GetStream/stream-chat-react,eslint-utils,b654345cacf1d6213479e53a0e35245f0fbd3b0f,1.4.2,1.4.2,1.4.2,47,2019-08-26T22:19:07Z,2019-09-27 17:03:40+02:00,"31,16",False
125,GetStream/stream-chat-react,eslint-utils,b654345cacf1d6213479e53a0e35245f0fbd3b0f,1.4.2,1.4.2,1.4.2,48,2019-08-26T22:19:08Z,2019-09-27 17:03:40+02:00,"31,16",False
126,GetStream/stream-chat-react,eslint-utils,b654345cacf1d6213479e53a0e35245f0fbd3b0f,1.4.2,1.4.2,1.4.2,49,2019-08-26T22:19:10Z,2019-09-27 17:03:40+02:00,"31,16",False
