,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
1416,wesbos/Syntax,next,GHSA-fq77-7p7r-83rj,2a6a4a6eb8fb773202d53c80fd44ed5fe8cf049a,8ac03ff6c02fe14632a2d29e759b75eceb5a4a40,2020-05-25 20:48:33+02:00,2020-05-25 20:48:33+02:00,GITHUB,1,1,0,0,0,"54,19"
1417,wfp/ui,mixin-deep,GHSA-fhjf-83wg-r2j9,34a6ad819bc9dd3ee7e45b295915e5f8be28e774,9e4742bbb97033a7b526150032c8f78c3a2d7d2c,2019-12-23 09:06:12+01:00,2019-12-23 09:06:12+01:00,GITHUB,0,1,0,0,0,"72,23"
1418,wfp/ui,lodash.mergewith,GHSA-jf85-cpcp-j695,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1419,wfp/ui,lodash,GHSA-jf85-cpcp-j695,34a6ad819bc9dd3ee7e45b295915e5f8be28e774,9e4742bbb97033a7b526150032c8f78c3a2d7d2c,2019-12-23 09:06:12+01:00,2019-12-23 09:06:12+01:00,GITHUB,0,1,0,0,0,"72,23"
1420,wfp/ui,merge,GHSA-f9cm-qmx5-m98h,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1421,wfp/ui,js-yaml,GHSA-2pr6-76vf-7546,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1422,wfp/ui,js-yaml,GHSA-8j8c-7jfh-h6hx,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1423,wfp/ui,fstream,GHSA-xf7w-r453-m56c,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1424,wfp/ui,nwmatcher,GHSA-6394-6h9h-cfjg,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1425,wfp/ui,js-yaml,GHSA-8j8c-7jfh-h6hx,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1426,wfp/ui,js-yaml,GHSA-2pr6-76vf-7546,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1427,wfp/ui,stringstream,GHSA-mf6x-7mm4-x2g7,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1428,wfp/ui,atob,GHSA-8w4h-3cm3-2pm2,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1429,wfp/ui,lodash.mergewith,GHSA-jf85-cpcp-j695,5c7051903be93ca6b0784c43d700c98a6f7c6aeb,97295bce08201377623100d6a42486e7e7f56d61,2019-09-19 14:45:21+02:00,2019-09-19 14:45:21+02:00,GITHUB,0,0,0,0,0,
1430,wfp/ui,diff,GHSA-h6ch-v84p-w6p9,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1431,wfp/ui,sshpk,GHSA-2m39-62fm-q8r3,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1432,wfp/ui,tar,GHSA-j44m-qm6p-hp7m,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1433,wfp/ui,merge,GHSA-f9cm-qmx5-m98h,afaad342eced88ce18bc65ad7778bfbb567bbf91,678538547663578d1ec0754c7d11fd664b36a320,2019-03-25 12:24:42+01:00,2019-03-25 12:24:42+01:00,GITHUB,0,0,0,0,0,
1434,wfp/ui,fstream,GHSA-xf7w-r453-m56c,7cc67df8d0163c40010bec4d342ebb26010c5e94,314e2536c4b663dd7d5e5fb803b044b722257a8a,2019-06-12 13:03:39+02:00,2019-06-12 13:03:39+02:00,GITHUB,0,0,0,0,0,
1435,wfp/ui,acorn,GHSA-6chw-6frg-f759,d61f143d15d615a2e5bfaa59cdeaafe23d29d39b,15f6000128e5995bfd07beb5245031f1455b616a,2020-04-17 10:46:28+02:00,2020-04-17 10:46:28+02:00,GITHUB,0,1,0,1,1,"11,18"
1436,wfp/ui,acorn,GHSA-6chw-6frg-f759,a411dfa8dcab92ac68e6e823a9dca949f5ad870c,012aba7790a3e445828a34c21bb3d6e1b1b0e83f,2020-03-12 10:44:10+01:00,2020-03-12 10:44:10+01:00,GITHUB,0,0,0,0,0,
